Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Providing and laying Annual Surfacing (Periodic Maintenance) on Link road to Patial Basti Km 0/0 to 1/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying Tack coat, Bituminous Concrete, Thermoplastic Paint and C/o V-shape drain in between Km 0/0 to 1/0",Please refer Tender documents. ,NA ,"9,85,291",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"19,800",No,fixed,,EE Bhawarna,Bhawarna,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,350.0,EE Bhawarna,Bhawarna,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,04-Mar-2020 10:00 AM,18-Mar-2020 11:30 AM,04-Mar-2020 10:05 AM,18-Mar-2020 11:00 AM,NA ,NA ,04-Mar-2020 10:30 AM,18-Mar-2020 11:00 AM,18-May-2020 03:10 PM,PWD,Link road to Patial Basti Km 0.0 to 1.0,2020_PWD_35868_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Sh Manish Sehgal,Internal,Anoop Sood AE to EE Harjeet Singh Supdt Mukesh Kumar JDM Dayal Singh Sr Asstt Manjeet Kumar Jr Asstt,Manish Sehgal,18-May-2020 03:07 PM,18-May-2020 03:10 PM,techsummary_52725.pdf (937.50 KB),PWD,2020_PWD_35868_1,Link road to Patial Basti Km 0.0 to 1.0,Providing and laying Annual Surfacing (Periodic Maintenance) on Link road to Patial Basti Km 0/0 to 1/0 (during the year 2020-21) of Rural roads in the state of HP,17-Nov-2021,"INR 1,460,330",90.0,Manish Sehgal,17-Nov-2021 04:17 PM,AOC.pdf (1104.00 KB),AOC,Sh Manish Sehgal,Internal,,Manish Sehgal,17-Nov-2021 04:15 PM,finsummary_52725.pdf (469.91 KB),1.0,155484.0,Sanjeev,INR,"1,237,167",Finance,Summary,Manish Sehgal,17-Nov-2021 04:13 PM,finance_52725.pdf,BOQ Comparative Chart,1.0,155481.0,M/s Kamala Enterprises,17-Mar-2020 09:39 PM,Rejected-Finance,Bidder Rank-L2,17-Nov-2021 04:15 PM,Technical,Bid opening summary,Manish Sehgal,18-May-2020 03:03 PM,technical_52725.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,155484.0,Sanjeev,17-Mar-2020 10:12 PM,Accepted-AOC,Bidder Rank-L1,17-Nov-2021 04:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
