Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
31-Jul-2021,"INR 5,868,005",334.0,Vijay Kumar Aggarwal,11-Nov-2021 03:42 PM,AOC_42911_1.pdf (1317.00 KB),Awarded to Sh. Bhupender Singh Chauhan,VIJAY KUMAR AGGARWAL,Internal,SUPTD HDM,Vijay Kumar Aggarwal,15-Dec-2020 04:58 PM,finsummary_63602.pdf (661.28 KB),VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,15-Dec-2020 01:31 PM,15-Dec-2020 02:30 PM,techsummary_63602.pdf (1105.83 KB),PWD,2020_PWD_42911_1,NAHAN 10593-610,PBMC of Jhameria Rama-Dhaun Dhagera Road km 0/0 to 22/300,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,11-Dec-2020 05:02 PM,technical_63602.pdf,1.0,191238.0,Bhupender Chauhan,10-Dec-2020 12:40 PM,Accepted-AOC,L1,11-Nov-2021 03:42 PM,Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,15-Dec-2020 04:44 PM,finance_63602.pdf,BOQ Comparative Chart,1.0,191238.0,Bhupender Chauhan,INR,"5,868,005",AOC,"1,00,800",No,fixed,,Nil,Nil,PWD,NAHAN 10593-610,2020_PWD_42911_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT OF COST OF TENDER AND EARNEST MONEY PAYMENT,"2,000",Nil,Nil,No,PBMC of Jhameria Rama-Dhaun Dhagera Road km 0/0 to 22/300,Routine Maintenance in Km 0/0 to 22/300,As Per Bidding Document ,NA ,"68,24,978",Civil Works - Roads,NA ,Tender,90.0,334.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,1.0,ICICI BANK,03-Dec-2020 05:00 PM,11-Dec-2020 11:00 AM,03-Dec-2020 05:00 PM,11-Dec-2020 10:00 AM,NA ,NA ,03-Dec-2020 05:00 PM,11-Dec-2020 10:00 AM,15-Dec-2020 02:30 PM,Executive Engineer,Executive Engineer HPPWD Division Nahan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,191379.0,Lal Singh Chauhan Contractor,11-Dec-2020 09:54 AM,Rejected-Technical,Non-Responsive,15-Dec-2020 01:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,REGISTRATION OF CONTRACTOR (AS PER SECTION 3),,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANNUAL TURNOVER STATEMENT ALONG WITH BALANCE SHEETS IN LAST 5 YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK EXPERIENCE (50 PERCENT) IN SIMILAR NATURE OF PROPOSED CONTRACT IN LAST 5 YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"WORK IN HAND/EXISTING COMMITMENTS, DETAIL OF BIDS SUBMITTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT/DETAILS OF TECHNICAL STAFF AND MACHINERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,INFORMATION REGARDING LITIGATION AND ARBITRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT THERE WILL NOT BE JOINT VENTURE FOR PROPOSED PROJECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST NUMBER, PAN CARD AND EPF NUMBER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY IN XLS FORMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
