Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. Manoj Sehgal,Internal,"XEN, Supdt. Gr-II, HDM",Manoj Kumar Sehgal,06-Nov-2021 11:00 AM,finsummary_74625.pdf (545.41 KB),06-Nov-2021,"INR 13,156,001",180.0,Manoj Kumar Sehgal,06-Nov-2021 11:01 AM,OP.pdf (514.00 KB),AOC,PWD,2021_PWD_49871_1,PW-KMS-AB-NIT/2021-2996-97 dt 09.07.2021,A/S on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000 SH Renewal coat 30 mm thick Bituminous Concrete in Km 0/000 to 5/000 12/000 to 14/000 18/000 to 19/000 and 22/000 to 24/000 MDR,Er. Manoj Sehgal,Internal,"XEN, Supdt. Gr-II, HDM",Manoj Kumar Sehgal,27-Jul-2021 03:38 PM,27-Jul-2021 04:00 PM,techsummary_74625.pdf (507.75 KB),Technical,Bid Opening Summary,Manoj Kumar Sehgal,26-Jul-2021 12:16 PM,technical_74625.pdf,1.0,225040.0,Om Prakash Mehta,24-Jul-2021 09:39 AM,Accepted-AOC,Accept,06-Nov-2021 11:01 AM,1.0,225040.0,Om Prakash Mehta,INR,"13,156,001",Finance,Summary of Technical Bid Evaluation,Manoj Kumar Sehgal,27-Jul-2021 04:50 PM,finance_74625.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR number of payment made against cost of tender form.,"5,000",Nil,Nil,No,15-Jul-2021 05:00 PM,26-Jul-2021 11:00 AM,15-Jul-2021 05:30 PM,24-Jul-2021 06:00 PM,NA ,NA ,15-Jul-2021 05:30 PM,24-Jul-2021 06:00 PM,27-Jul-2021 04:00 PM,"1,63,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,Kumarsain Division HPPWD Kumarsain,PWD,PW-KMS-AB-NIT/2021-2996-97 dt 09.07.2021,2021_PWD_49871_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/S on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000 SH Renewal coat 30 mm thick Bituminous Concrete in Km 0/000 to 5/000 12/000 to 14/000 18/000 to 19/000 and 22/000 to 24/000 MDR,A/S on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000 SH Renewal coat 30 mm thick Bituminous Concrete in Km 0/000 to 5/000 12/000 to 14/000 18/000 to 19/000 and 22/000 to 24/000 MDR,Please refer Tender documents. ,NA ,"1,30,55,796",Civil Works - Roads,NA ,Tender,90.0,180.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,225119.0,Pawan Sood,24-Jul-2021 12:01 PM,Rejected-Finance,Reject due to 2nd lowest bidder,06-Nov-2021 11:00 AM,,,,,,,,,,,,AOC,,,.pdf,Copy of UTR number of payment made against earnest money.,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work in hand Certificate (Gen Rule No 19, Min Amt Work done shown in Schedule F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Minimum Turnover for Last Five Years alongwith balance sheet (Refer Schedule D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
