Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_52063_2,NHN-SMROO-722- 7639-7719 dt 07-09-2021,Providing FHTC of retrofitting FHTC LWSS Dadahu under JJM in GP Dadahu,1.0,235504.0,M/S Sharma Enterpirses,INR,"1,005,999",Er. Ashish Rana,Internal,TA Supdt HDM DAO EE,Ashish Rana,18-Nov-2021 12:10 PM,finsummary_77783.pdf (642.95 KB),Er. Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,21-Sep-2021 12:44 PM,21-Sep-2021 12:45 PM,techsummary_77783.pdf (317.80 KB),1.0,235859.0,ABTAR SINGH AND COMPANY,15-Sep-2021 04:21 PM,Rejected-Finance,Reject,18-Nov-2021 12:10 PM,18-Nov-2021,"INR 805,156",90.0,Ashish Rana,18-Nov-2021 12:11 PM,AOC.pdf (643.00 KB),Award to Contractor,Finance,Financial Bid Opening Summary,Ashish Rana,21-Sep-2021 01:03 PM,finance_77783.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,21-Sep-2021 12:34 PM,technical_77783.pdf,AOC,08-Sep-2021 05:00 PM,16-Sep-2021 11:30 AM,08-Sep-2021 05:00 PM,16-Sep-2021 11:00 AM,NA ,NA ,08-Sep-2021 05:00 PM,16-Sep-2021 11:00 AM,21-Sep-2021 12:45 PM,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Providing FHTC of retrofitting FHTC LWSS Dadahu under JJM in GP Dadahu,"Drilling, lowering, assembly and development of T/well 300mm dia, 30 mtrs deep",Please refer Tender documents. ,NA ,"8,05,156",Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 7639-7719 dt 07-09-2021,2021_HPIPH_52063_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"16,200",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,235697.0,H.N.SINGH AND COMPANY,15-Sep-2021 02:46 PM,Rejected-Finance,Reject,18-Nov-2021 12:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,235784.0,M/S. Mast Ram Jaswal And Co.,14-Sep-2021 07:23 PM,Rejected-Finance,Reject,18-Nov-2021 12:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV Vibhag in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,235504.0,M/S Sharma Enterpirses,13-Sep-2021 07:00 AM,Accepted-AOC,AOC,18-Nov-2021 12:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,235925.0,SUKHDEV ENGINEERING WORKS,15-Sep-2021 06:34 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Sep-2021 12:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,235807.0,Vats Associates,16-Sep-2021 05:58 AM,Rejected-Finance,Reject,18-Nov-2021 12:10 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An experience of similar kind of work is required as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,AOC
