Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"2,000",EE Sundernagar,Sundernagar,No,1.0,ICICI BANK,"89,000",Yes,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-Tender/21- 5960-70 dt. 1.9.2021,2021_PWD_52008_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,06-Sep-2021 06:00 PM,13-Sep-2021 11:30 AM,06-Sep-2021 06:00 PM,13-Sep-2021 10:00 AM,NA ,NA ,06-Sep-2021 06:00 PM,13-Sep-2021 10:00 AM,18-Sep-2021 02:00 PM,Annual surfacing on Sundernagar Keran road (VR) and Sundernagar Dharanda road (VR),"SH Providing and laying 30mm thick bituminous concrete including profile correction layer, V-shape drain and road marking on Sundernagar Keran road in Km 2/0 to 3/700 and Sundernagar Dharanda road KM 0/0 to 1/0 and 2/0 to 3/0.",As per bid document ,NA ,"44,50,316",Civil Works,Tarring ,Tender,75.0,60.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,AOC,PWD,2021_PWD_52008_1,PW-SNR-CB-E-Tender/21- 5960-70 dt. 1.9.2021,Annual surfacing on Sundernagar Keran road (VR) and Sundernagar Dharanda road (VR),Er. D.R. Chauhan Executive Engineer,Internal,Er. N.R. Cahndel AE Suket Sh. Sushil Kumar DAO Gr-I Sh. Ama Singh HDM Sh. Rattan Lal Supdt. Accounts,Naresh Raj Chandel,17-Sep-2021 12:57 PM,18-Sep-2021 02:00 PM,techsummary_77715.pdf (753.74 KB),Superintending Engineer 1st Circle HPPWD Mandi,Internal,Executive Engineer (D) 1st Circle Mandi Executive Engineer Sundernagar CHD Supdt Works,Chaman Singh,23-Nov-2021 05:11 PM,finsummary_77715.pdf (1018.26 KB),23-Nov-2021,"INR 4,559,377",60.0,Chaman Singh,23-Nov-2021 05:13 PM,AOCKeran.pdf (1018.00 KB),AOC issued,1.0,235446.0,Ajmer Singh,12-Sep-2021 05:01 PM,Accepted-AOC,Found lowest,23-Nov-2021 05:13 PM,Technical,BOS,Naresh Raj Chandel,14-Sep-2021 05:17 PM,technical_77715.pdf,1.0,235446.0,Ajmer Singh,INR,"4,559,377",Finance,FBOS,Naresh Raj Chandel,20-Sep-2021 04:17 PM,finance_77715.pdf,BOQ Comparative Chart,AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,235136.0,M/S NAWAL KISHORE AND SONS,09-Sep-2021 02:21 PM,Rejected-AOC,Not found lowest,23-Nov-2021 05:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.20,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,235462.0,VIRENDER KUMAR,12-Sep-2021 05:59 PM,Rejected-Technical,Being non responsive,17-Sep-2021 12:57 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return general rules No. 16(3),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
