Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
500.0,Nil,Nil,No,"31,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,Improvement of blackspots and providing steel Crash Barrier on various roads under Chamba Division Providing Crash Barrier on Ludera Sungal Kalotha road in Km 0/0 to 11/500 at various Rds,Improvement of blackspots and providing steel Crash Barrier on various roads under Chamba Division Providing Crash Barrier on Ludera Sungal Kalotha road in Km 0/0 to 11/500 at various Rds,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,PWD,No.PWC-WA-II- 2498-597 dated 3.6.21,2021_PWD_48626_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,16-Jun-2021 05:00 PM,25-Jun-2021 11:30 AM,16-Jun-2021 05:00 PM,23-Jun-2021 05:00 PM,NA ,NA ,16-Jun-2021 05:00 PM,23-Jun-2021 05:00 PM,05-Jul-2021 11:30 AM,AOC,Executive Engineer,Internal,Assistant Engineer superintendent and senior Assistant,Jeet Singh Thakur,01-Jul-2021 06:01 PM,05-Jul-2021 11:30 AM,techsummary_72918.pdf (264.86 KB),PWD,2021_PWD_48626_4,No.PWC-WA-II- 2498-597 dated 3.6.21,Improvement of blackspots and providing steel Crash Barrier on various roads under Chamba Division Providing Crash Barrier on Ludera Sungal Kalotha road in Km 0/0 to 11/500 at various Rds,27-Nov-2021,"INR 1,567,353",60.0,Jeet Singh Thakur,27-Nov-2021 07:11 PM,5888-93.pdf (532.00 KB),Improvement of blackspots and providing steel Crash Barrier on various roads under Chamba Division Providing Crash Barrier on Ludera Sungal Kalotha road in Km 0/0 to 11/500 at various Rds,Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,06-Aug-2021 05:01 PM,finsummary_72918.pdf (212.30 KB),1.0,218491.0,Subhash Kumar,23-Jun-2021 08:56 AM,Accepted-AOC,1st Lowest,27-Nov-2021 07:11 PM,Technical,BOS,Jeet Singh Thakur,01-Jul-2021 05:32 PM,technical_72918.pdf,Finance,BOS,Jeet Singh Thakur,06-Aug-2021 04:48 PM,finance_72918.pdf,BOQ Comparative Chart,1.0,218491.0,Subhash Kumar,INR,"2,636,106",AOC
,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218402.0,TEK CHAND CONTRACTOR,23-Jun-2021 04:43 PM,Rejected-Finance,3rd Lowest,06-Aug-2021 05:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,218643.0,WALIA CONSTRUCTIONS,23-Jun-2021 12:24 PM,Rejected-Finance,2nd lowest,06-Aug-2021 05:01 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinary,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Crash barrier should be as per IS 1367 and IS 1364 as per MoRTH clause 810 documentary proof,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
