Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
EE Dehra,Internal,AE to EE Dehra DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,05-Oct-2021 03:57 PM,finsummary_76443.pdf (174.69 KB),28-Nov-2021,"INR 685,100",30.0,Dinesh Kumar Dhiman,28-Nov-2021 05:28 PM,Award-51133-9.pdf (600.00 KB),Award of work issued,PWD,2021_PWD_51133_9,EE Dehra letter No.3575-79 dated 05.08.2021,C/O Link road from NH-88 to Village Thera Km. 0/0 to 0/800,EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,14-Sep-2021 06:14 PM,15-Sep-2021 11:00 AM,techsummary_76443.pdf (318.72 KB),Finance,Financial bid opening summary,Dinesh Kumar Dhiman,05-Oct-2021 03:12 PM,finance_76443.pdf,BOQ Comparative Chart,1.0,231087.0,Abhishek,INR,"685,100",Technical,Bid opening summary,Dinesh Kumar Dhiman,14-Sep-2021 04:52 PM,technical_76443.pdf,1.0,231087.0,Abhishek,20-Aug-2021 12:26 PM,Accepted-AOC,work awarded being lowest contractor,28-Nov-2021 05:28 PM,AOC,350.0,Nil,Nil,No,C/O Link road from NH-88 to Village Thera Km. 0/0 to 0/800,P/L CC pavement at RD 0/400 to 0/600)OTMNP,Please refer to tender document ,NA ,,Civil Works,Repair of road ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"11,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,13-Aug-2021 10:00 AM,21-Aug-2021 11:30 AM,13-Aug-2021 10:00 AM,20-Aug-2021 06:00 PM,13-Aug-2021 10:00 AM ,20-Aug-2021 06:00 PM ,13-Aug-2021 10:00 AM,20-Aug-2021 06:00 PM,15-Sep-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,PWD,EE Dehra letter No.3575-79 dated 05.08.2021,2021_PWD_51133_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD Division Dehra,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,231074.0,Ashok Kumar,19-Aug-2021 11:24 PM,Rejected-AOC,Rejected being highest bid amount,28-Nov-2021 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,231172.0,Deep kumar Govt. Contractor,20-Aug-2021 03:44 PM,Rejected-Technical,Non Responsive,14-Sep-2021 06:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,230895.0,nekmohammad,19-Aug-2021 12:39 PM,Rejected-AOC,Rejected being highest bid amount,28-Nov-2021 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,230917.0,SANDEEP KAUNDAL WORK CONTRACOR,20-Aug-2021 08:40 AM,Rejected-Technical,Non responsive,14-Sep-2021 06:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,AOC
