S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,185238.0,shiv iron general engineers,INR,"7,535,025","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2020_HPIPH_41991_2,9705-9804 dated 27-10-2020,"Providing LWSS from Pallar Khad to PC hab. of GP Andheri, Lana Pallar, Ludhiana, Sainj and Sangrah Tehsil Sangrah Distt. Sirmour",Superintending Engineer,Internal,Suptd CHD AE(D) EE Nohra EE(D),Tilak Raj Pathak,23-Nov-2021 02:55 PM,finsummary_61963.pdf (611.54 KB),Technical,Tech Bid Summury,Mohd. Arshad Rehman,28-Nov-2020 01:23 PM,technical_61963.pdf,Finance,Financial Bid Summary,Mohd. Arshad Rehman,28-Nov-2020 04:11 PM,finance_61963.pdf,BOQ Comparative Chart,23-Nov-2021,"INR 7,535,025",120.0,Tilak Raj Pathak,23-Nov-2021 03:03 PM,Award.pdf (385.00 KB),Awarded to M/S Shiv Iron Nahan,1.0,185427.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,06-Nov-2020 04:07 PM,Rejected-Finance,Higher side,23-Nov-2021 02:55 PM,Executive Engineer,Internal,"Suptd. GR-II, HDM, Dealing Assistant",Mohd. Arshad Rehman,28-Nov-2020 01:36 PM,28-Nov-2020 02:00 PM,techsummary_61963.pdf (253.25 KB),AOC,"1,12,500",Yes,fixed,,EE Nohradhar,Nohradhar,Executive Engineer,Nohradhar,28-Oct-2020 01:00 PM,07-Nov-2020 11:30 AM,28-Oct-2020 01:00 PM,07-Nov-2020 11:00 AM,NA ,NA ,28-Oct-2020 01:00 PM,07-Nov-2020 11:00 AM,28-Nov-2020 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,The cost of Tender form only favor of EE Nohradhar,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",9705-9804 dated 27-10-2020,2020_HPIPH_41991_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,"Providing LWSS from Pallar Khad to PC hab. of GP Andheri, Lana Pallar, Ludhiana, Sainj and Sangrah Tehsil Sangrah Distt. Sirmour","SH- Providing, Laying, Jointing, Testing, and Commissioning of GMS pipe line 100 mm dia in rising main for 2nd phase in distribution system",Please refer Tender documents. ,NA ,"79,66,953",Pipe Laying Works,Rising Main ,Tender,120.0,120.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,800.0,EE Nohradhar,Nohradhar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,185542.0,HYDRAULIC ENGINEERING COMPANY,06-Nov-2020 08:46 PM,Rejected-Finance,Higher Side,23-Nov-2021 02:55 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money duly pledged in favor of EE Nohradhar,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,185330.0,SG Engineers and Consultants,05-Nov-2020 10:35 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Nov-2020 01:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Latest Copy of Registration with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,185238.0,shiv iron general engineers,06-Nov-2020 05:46 PM,Accepted-AOC,Approved,23-Nov-2021 03:03 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the firm has not been blacklisted by the Govt. and any other Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax Return for the year 2019-20 and GST Latest clearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Average Financial Turn over during Last Three Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Three completed Similar work not less then 40 percent of the Estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Two completed Similar work not less then 50 percent of the Estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,One completed Similar work not less then 80 percent of the Estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
