Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Technical,BOS,Rajeev Kumar,30-Apr-2021 01:47 PM,technical_70067.pdf,1.0,209563.0,construction,23-Apr-2021 03:02 PM,Rejected-Finance,2nd Lowest,19-Jul-2021 12:39 PM,1.0,209299.0,Rahul Thakur,INR,"5,319,132",Finance,Summary,Rajeev Kumar,19-Jul-2021 12:37 PM,finance_70067.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Rajeev Kumar,19-Jul-2021 12:39 PM,finsummary_70067.pdf (17.59 KB),19-Jul-2021,"INR 5,135,331",60.0,Deepak Mahajan,27-Nov-2021 03:25 PM,AL.pdf (1212.00 KB),Award Letter,PWD,2021_PWD_46618_1,EE Salooni Letter No. 19-68 dated 05-04-2021,Periodical Maintenance on Bathri Sundla Langera J and K Boundary road (MDR89) under AMP for the year 2021-2022,Executive Engineer Salooni,Internal,Senior Assistant Saloni Superintendent Salooni HDM Salooni and Assistant Salooni,Rajeev Kumar,30-Apr-2021 01:50 PM,03-May-2021 11:30 AM,techsummary_70067.pdf (135.11 KB),AOC,PWD,EE Salooni Letter No. 19-68 dated 05-04-2021,2021_PWD_46618_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,02,800",No,fixed,,Nil,Nil,17-Apr-2021 12:40 PM,24-Apr-2021 11:30 AM,17-Apr-2021 12:40 PM,24-Apr-2021 11:00 AM,NA ,NA ,17-Apr-2021 12:40 PM,24-Apr-2021 11:00 AM,03-May-2021 11:30 AM,Periodical Maintenance on Bathri Sundla Langera J and K Boundary road (MDR89) under AMP for the year 2021-2022,"Providing and laying 30mm thick bituminous concrete and PCC drain in K.M. 65/0 to 66/0, 66/0 to 67/0, 67/0 to 68/0 and 72/0 to 73/0",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Salooni,176320.0,NA ,NA ,NA ,"Executive Engineer, Salooni Division HPPWD Salooni",No ,No,Executive Engineer,"Executive Engineer, Salooni Division HPPWD Salooni",1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,"2,000",Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,2.0,209299.0,Rahul Thakur,23-Apr-2021 03:48 PM,Accepted-AOC,Accepted,27-Nov-2021 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 and as per invitation of bid,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary proof of Similar Nature work,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7-8, duly signed by the contractor",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Documentary proof for ownership of 30/40 tonne capacity of Hotmixplant,paver finisher and RoadRoller",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,AOC
