Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
25-Jun-2021 09:00 AM,01-Jul-2021 11:30 AM,25-Jun-2021 09:00 AM,01-Jul-2021 10:30 AM,NA ,NA ,25-Jun-2021 09:00 AM,01-Jul-2021 10:30 AM,12-Jul-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,ICICI BANK,EE Hamirpur,Executive Engineer HPPWD Hamirpur,PWD,C/O link road to Harizen Basti Kohin,2021_PWD_49034_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,Construction of link road to Harizen Basti Kohin and Baffrin km 0/500 to 1/700,"SH Construction of ROFD at various RDs, C/O R/wall in various RDs and C/O 6.0 metres. Span RCC Slab type culvert Under SCSP Head",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"31,600",No,fixed,,Nil,Nil,AOC,PWD,2021_PWD_49034_1,C/O link road to Harizen Basti Kohin,Construction of link road to Harizen Basti Kohin and Baffrin km 0/500 to 1/700,EE Hamirpur,Internal,SupdtHDMSupdtABAEtoEE,Vivek Sharma,10-Jul-2021 11:13 PM,12-Jul-2021 11:00 AM,techsummary_73475.pdf (1075.55 KB),EE Hamirpur,Internal,SupdtHDMSupdtABAEtoEE,Vivek Sharma,20-Jul-2021 10:12 PM,finsummary_73475.pdf (805.72 KB),18-Nov-2021,"INR 1,475,450",90.0,Vivek Sharma,18-Nov-2021 06:25 PM,AwardKohin.pdf (918.00 KB),Award,1.0,220521.0,KAMAL PATHANIA GOVT.CONTRACTOR,01-Jul-2021 08:08 AM,Accepted-AOC,l1,18-Nov-2021 06:25 PM,Technical,Attached,Vivek Sharma,10-Jul-2021 11:06 PM,technical_73475.pdf,1.0,220521.0,KAMAL PATHANIA GOVT.CONTRACTOR,INR,"1,475,449.63",Finance,Attached,Vivek Sharma,20-Jul-2021 10:09 PM,finance_73475.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,.pdf,Work in hand/work done detail counter signed by Engineer-in-Charge as per General rules direction-16,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,220524.0,SAJEEV KUMAR GOVT.CONTRACTOR,30-Jun-2021 03:16 PM,Rejected-Technical,Rejected,10-Jul-2021 11:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,220579.0,vinod kumar,01-Jul-2021 09:07 AM,Rejected-AOC,l2,18-Nov-2021 06:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
