Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
PWD,6381-6431,2021_PWD_51825_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Executive Engineer HPPWD, Division, Kangra","Executive Engineer HPPWD, Division, Kangra",Construction of link road from Ghera Sukhughat Chamyara Bhitlu km.0/000 to 15/515 in Distt. Kangra (HP) under NABARD RIDF-XXVI,"(SH - C/O 40.00mtr span bridge, formation cutting, passing places, R/Wall, CD work, GSB, WBM-II, WBM-III, Tarring work, side drain and parapets).",Please refer Tender documents. ,NA ,"13,85,61,046",Civil Works - Roads,NA ,Tender,120.0,545.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-1 of the Bid as per Section-6,03-Sep-2021 09:00 AM,13-Sep-2021 11:00 AM,03-Sep-2021 09:00 AM,13-Sep-2021 10:30 AM,NA ,NA ,03-Sep-2021 10:00 AM,13-Sep-2021 10:30 AM,22-Sep-2021 11:30 AM,1.0,ICICI BANK,"27,72,000",No,fixed,,Nil,Nil,AOC,PWD,2021_PWD_51825_1,6381-6431,Construction of link road from Ghera Sukhughat Chamyara Bhitlu km.0/000 to 15/515 in Distt. Kangra (HP) under NABARD RIDF-XXVI,"S.E. 5th Circle, HPPWD, Palampur",Internal,"Executive Engineer (D), 5th Circle, Palampur, Executive Engineer, HPPWD, Division, Kangra, DAO HPPWD, Kangra, CHD, 5th Circle, Palampur, Supdt. (Gr-I), (Works), HPPWD, Palampur",Vijay Kumar Verma,20-Sep-2021 01:02 PM,22-Sep-2021 11:30 AM,techsummary_77492.pdf (1385.63 KB),"S.E. 5th Circle, HPPWD, Palampur",Internal,"Executive Engineer (D), 5th Circle, Palampur, Executive Engineer, HPPWD, Division, Kangra, DAO HPPWD, Kangra, CHD, 5th Circle, Palampur, Supdt. (Gr-I), (Works), HPPWD, Palampur",Vijay Kumar Verma,23-Sep-2021 11:24 AM,finsummary_77492.pdf (701.62 KB),09-Nov-2021,"INR 138,561,046",545.0,Vijay Kumar Verma,10-Nov-2021 11:22 AM,Award.pdf (1750.00 KB),Award,1.0,235440.0,M.S JAGDISH CHAND GUPTA,12-Sep-2021 04:49 PM,Rejected-Finance,Rates are higher side,23-Sep-2021 11:24 AM,Technical,Summary,Vijay Kumar Verma,20-Sep-2021 12:56 PM,technical_77492.pdf,Finance,Summary,Vijay Kumar Verma,23-Sep-2021 11:20 AM,finance_77492.pdf,BOQ Comparative Chart,1.0,234421.0,Navneet Thakur,INR,"111,618,780",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No.3,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,234421.0,Navneet Thakur,13-Sep-2021 09:23 AM,Accepted-AOC,Award,10-Nov-2021 11:22 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 C1-16.1,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q-1 Section 3 (1.1),,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.3.1), (1.3.2), (1.3.3)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.1 as per Section 2 C1 (4.2, 4.4- A and B)",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
