Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address
"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R. Shandil, Head Draughtsman, Jia Lal, Draughtsman",Vijay Kumar Chauhan,29-Nov-2021 12:35 PM,finsummary_77568.pdf (423.60 KB),29-Nov-2021,"INR 1,427,519",30.0,Rajesh Kumar,07-Aug-2023 03:57 PM,aaward.pdf (1122.00 KB),Award letter,PWD,2021_PWD_51881_1,PW.HD/CB-tender/2021-5602-15,Metalling and tarring on Ghoond Kot Pantha km 0.00 to 4.00,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, HDM, Kewal Ram, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,23-Sep-2021 01:38 PM,23-Sep-2021 03:30 PM,techsummary_77568.pdf (440.73 KB),Finance,Financial opening summary,Vijay Kumar Chauhan,23-Sep-2021 04:45 PM,finance_77568.pdf,BOQ Comparative Chart,1.0,235236.0,Anil Kumar,INR,"1,338,982",Technical,Bid opening summary,Vijay Kumar Chauhan,15-Sep-2021 01:32 PM,technical_77568.pdf,1.0,235236.0,Anil Kumar,13-Sep-2021 01:31 PM,Accepted-AOC,Being L1,07-Aug-2023,"29,000",No,fixed,,Nil,Nil,04-Sep-2021 11:00 AM,14-Sep-2021 11:00 AM,04-Sep-2021 11:00 AM,13-Sep-2021 05:00 PM,NA ,NA ,04-Sep-2021 11:00 AM,13-Sep-2021 05:00 PM,23-Sep-2021 03:30 PM,1.0,ICICI BANK,Metalling and tarring on Ghoond Kot Pantha km 0.00 to 4.00,Providing and laying metaling and tarring in km 0.00 to 1.300,As per GCC ,NA ,"14,27,519",Civil Works - Roads,NA ,Tender,45.0,30.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,PWD,PW.HD/CB-tender/2021-5602-15,2021_PWD_51881_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla, HP"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,234166.0,Laiq Ram Chauhan and Sons,06-Sep-2021 07:16 PM,Rejected-Finance,Being Higher rates,29-Nov-2021,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,235329.0,Mohit Sharma,11-Sep-2021 01:36 PM,Rejected-Finance,Being higher rtes,29-Nov-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,235261.0,Sheshav Thakur,10-Sep-2021 01:53 PM,Rejected-Technical,"Techn ically non responsive , failed to furnish working programme /undertaking",23-Sep-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,
