Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
06-Nov-2021,"INR 5,537,253",90.0,Manoj Kumar Sehgal,06-Nov-2021 10:51 AM,PV.pdf (512.00 KB),AOC,"Er,. Manoj Sehgal",Internal,"XEN, Supdt. Gr-II. HDM",Manoj Kumar Sehgal,06-Nov-2021 10:50 AM,finsummary_77343.pdf (514.20 KB),Er. Manoj Sehgal,Internal,"XEN, Supdt. Gr-II, Draughtsman",Manoj Kumar Sehgal,16-Sep-2021 12:18 PM,16-Sep-2021 12:20 PM,techsummary_77343.pdf (761.31 KB),PWD,2021_PWD_51734_1,PW-KMS-AB-NIT/2021-5194-95 dated 26.08.2021,Annual surfacing on link road to village Churat Renewal coat 30 mm thick Bituminous Concrete in Km 2/000 to 3/000 and Annual surfacing on link road to village Shalota Km 1/000 to 2/000 and km 2/000 to 3/000 and Annual surfacing on link road to vill,Finance,Summary of Technical Bid Evaluation,Manoj Kumar Sehgal,17-Sep-2021 03:22 PM,finance_77343.pdf,BOQ Comparative Chart,1.0,235017.0,parveen,INR,"5,537,253",Technical,Bid Opening Summary,Manoj Kumar Sehgal,15-Sep-2021 10:25 AM,technical_77343.pdf,1.0,235018.0,Naveen Verma,09-Sep-2021 03:57 PM,Rejected-Finance,Reject due to 2nd lowest bidder,06-Nov-2021 10:50 AM,AOC,"88,500",No,fixed,,Nil,Nil,Executive Engineer,"Kumarsain Division HP.PWD., Kumarsain",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),"2,000",Nil,Nil,No,02-Sep-2021 05:30 PM,10-Sep-2021 11:00 AM,02-Sep-2021 05:30 PM,09-Sep-2021 06:00 PM,NA ,NA ,02-Sep-2021 05:30 PM,09-Sep-2021 06:00 PM,16-Sep-2021 12:20 PM,Annual surfacing on link road to village Churat Renewal coat 30 mm thick Bituminous Concrete in Km 2/000 to 3/000 and Annual surfacing on link road to village Shalota Km 1/000 to 2/000 and km 2/000 to 3/000 and Annual surfacing on link road to vill,Annual surfacing on link road to village Churat Renewal coat 30 mm thick Bituminous Concrete in Km 2/000 to 3/000 and Annual surfacing on link road to village Shalota Km 1/000 to 2/000 and km 2/000 to 3/000 and Annual surfacing on link road to vill,Please refer Tender documents. ,NA ,"55,98,744",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,PWD,PW-KMS-AB-NIT/2021-5194-95 dated 26.08.2021,2021_PWD_51734_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,235017.0,parveen,09-Sep-2021 03:48 PM,Accepted-AOC,Accept due to 1st lowest bidder and awarded to contractor,06-Nov-2021 10:51 AM,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Work in hand Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Minimum Turnover for Last Five Years alongwith balance sheet (Refer Schedule D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
