S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,19-May-2021 05:00 PM,03-Jun-2021 11:30 AM,19-May-2021 05:00 PM,03-Jun-2021 10:00 AM,NA ,NA ,19-May-2021 05:00 PM,03-Jun-2021 10:00 AM,08-Jun-2021 04:05 PM,C/O link road from village Banon to Tharu and Gehra road km 0/0 to 4/500 under Nabard Distt.Mandi HP MLA Priority 2012-13,"F/C 5/7 mtr wide R/walls,dumping sties, RCC slab culvert and unlined drain etc",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,365.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,1.0,ICICI BANK,PWD,MDII-TENDER,2021_PWD_47620_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"5,000",EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,Yes,"4,31,000",Yes,fixed,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",AOC,1.0,214536.0,KRISHAN CHAND SAINI,INR,"21,726,250",Finance,Bid opening Summary,Suresh Kumar Dhiman,21-Jun-2021 12:10 PM,None,BOQ Comparative Chart,1.0,214475.0,BHAGASIDH CONSTRUCTION and ENGINEERING PVT LTD,02-Jun-2021 04:28 PM,Rejected-Finance,L5,21-Jun-2021 12:21 PM,Technical,Technical bid summary,Suresh Kumar Dhiman,08-Jun-2021 03:55 PM,technical_71446.pdf,Er Suresh kr Dhiman EE,Internal,HDM Supdt AE Sr DAO,Suresh Kumar Dhiman,08-Jun-2021 04:03 PM,08-Jun-2021 04:05 PM,techsummary_71446.pdf (584.13 KB),PWD,2021_PWD_47620_3,MDII-TENDER,C/O link road from village Banon to Tharu and Gehra road km 0/0 to 4/500 under Nabard Distt.Mandi HP MLA Priority 2012-13,12-Nov-2021,"INR 21,726,250",365.0,Suresh Kumar Dhiman,12-Nov-2021 04:23 PM,BANON.pdf (888.00 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,21-Jun-2021 12:21 PM,finsummary_71446.pdf (218.79 KB),AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",AOC,,,,,,,,,,,,2.0,214544.0,Dinesh Kumar Sharma Const. (P) Ltd,03-Jun-2021 07:42 AM,Rejected-Finance,L4,21-Jun-2021 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",AOC,,,,,,,,,,,,3.0,214372.0,Ghanshyam Sen,31-May-2021 05:42 PM,Rejected-Technical,bid non responsive and disqualified,08-Jun-2021 04:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),AOC,,,,,,,,,,,,4.0,214510.0,gopal sharma,02-Jun-2021 03:41 PM,Rejected-Finance,L6,21-Jun-2021 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,AOC,,,,,,,,,,,,5.0,214492.0,Hemant Kumar,03-Jun-2021 09:46 AM,Rejected-Finance,L2,21-Jun-2021 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),AOC,,,,,,,,,,,,6.0,214664.0,Jai Singh,02-Jun-2021 09:06 PM,Rejected-Finance,L7,21-Jun-2021 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8 duly signed (General Rule No.26.7), FORM OF BID FOR Part 1 of the bid",AOC,,,,,,,,,,,,7.0,214536.0,KRISHAN CHAND SAINI,02-Jun-2021 01:27 PM,Accepted-AOC,L1,12-Nov-2021 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",AOC,,,,,,,,,,,,8.0,214630.0,PARMA NAND GOVT. CONTRACTOR,02-Jun-2021 04:16 PM,Rejected-Finance,L3,21-Jun-2021 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",AOC,,,,,,,,,,,,9.0,214645.0,Rajesh Kumar,02-Jun-2021 06:09 PM,Rejected-Technical,bid non responsive and disqualified,08-Jun-2021 04:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,AOC,,,,,,,,,,,,10.0,214574.0,SANTOSH KUMAR,02-Jun-2021 12:35 PM,Rejected-Technical,bid non responsive and disqualified,08-Jun-2021 04:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
