Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Executive Engineer,Dehra Division HPPWD Dehra,1.0,ICICI BANK,350.0,Nil,Nil,No,27-Sep-2021 10:00 AM,06-Oct-2021 11:30 AM,27-Sep-2021 10:00 AM,05-Oct-2021 06:00 PM,27-Sep-2021 10:00 AM ,30-Sep-2021 05:00 PM ,27-Sep-2021 10:00 AM,05-Oct-2021 06:00 PM,22-Oct-2021 03:00 PM,"10,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,C/O Link road from upper Pragpur to Karol via Dadari road in Km. 2/0 to 3/300,C/O Cement concrete pavement at RD 2/900 to 3/050) OTMNP,Please refer to tender document ,NA ,,Civil Works - Roads,Road work ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,PWD,EE Dehra letter No.5138-42 dated 15.09.2021,2021_PWD_52701_18,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,239161.0,M/S Surjeet Singh Govt. Contractor,INR,"554,468",29-Nov-2021,"INR 554,468",30.0,Dinesh Kumar Dhiman,29-Nov-2021 10:50 AM,Award-52701-18.pdf (615.00 KB),Award of work issued,PWD,2021_PWD_52701_18,EE Dehra letter No.5138-42 dated 15.09.2021,C/O Link road from upper Pragpur to Karol via Dadari road in Km. 2/0 to 3/300,EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,29-Nov-2021 10:38 AM,finsummary_78809.pdf (214.01 KB),Finance,Financial bid opening summary,Dinesh Kumar Dhiman,29-Nov-2021 10:31 AM,finance_78809.pdf,BOQ Comparative Chart,1.0,239648.0,Govt Contractor,05-Oct-2021 05:36 PM,Rejected-AOC,Rejected being highest bidder,29-Nov-2021 10:50 AM,Technical,Bid opening summary,Dinesh Kumar Dhiman,11-Oct-2021 02:04 PM,technical_78809.pdf,EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,22-Oct-2021 01:16 PM,22-Oct-2021 03:00 PM,techsummary_78809.pdf (273.65 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,239161.0,M/S Surjeet Singh Govt. Contractor,04-Oct-2021 11:07 PM,Accepted-AOC,work awarded being lowest bidder,29-Nov-2021 10:50 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,239234.0,NEERAJ SHARMA GOVT. CONT.,04-Oct-2021 11:04 PM,Rejected-AOC,Rejected being highest bidder,29-Nov-2021 10:50 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,239617.0,Suresh Rana,05-Oct-2021 04:06 PM,Rejected-AOC,Rejected being highest bidder,29-Nov-2021 10:50 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,239168.0,VISHAL DHIMAN GOVT CONTRACTOR,05-Oct-2021 09:02 AM,Rejected-AOC,Rejected being highest bidder,29-Nov-2021 10:50 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
