Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage
29-Nov-2021,INR 1.1995E+7,365.0,Chandan Jyoti Saikia,29-Nov-2021 02:21 PM,torajan.pdf (470.00 KB),Director Soil Conservation Dept,Internal,,Chandan Jyoti Saikia,29-Oct-2021 12:37 PM,29-Oct-2021 12:40 PM,techsummary_35359.pdf (1122.04 KB),"DIRECTOR, SOIL CONSERVATION DEPTT., ASSAM",Internal,,Chandan Jyoti Saikia,16-Nov-2021 01:16 PM,finsummary_35359.pdf (3214.66 KB),Technical,Technical Bid opening,HEMEN CHANDRA ROY,28-Sep-2021 04:09 PM,,Finance,Finance Cover is opened and processed for Evaluation,HEMEN CHANDRA ROY,29-Oct-2021 01:42 PM,,BOQ Comparative Chart,1.0,123005.0,Akhil Kumar Jain,INR,11755100.0,1,123005,Akhil Kumar Jain,28-Sep-2021 12:48 PM,Accepted-AOC,Accepted,29-Nov-2021 02:21 PM,Soil Conservation Department||Director - SCD,2021_SCD_22955_9,TENDER/NIT/2021-22/288-90 Dated.13.09.2021,TORAJAN RIVER BANK EROSION PROTECTION PROJECT UNDER RIDF- XXVI,AOC,"2,000",Nil,Nil,No,15-Sep-2021 05:00 PM,28-Sep-2021 03:00 PM,15-Sep-2021 05:00 PM,28-Sep-2021 02:00 PM,NA ,NA ,18-Sep-2021 12:00 PM,28-Sep-2021 02:00 PM,29-Oct-2021 12:40 PM,Soil Conservation Department||Director - SCD,TENDER/NIT/2021-22/288-90 Dated.13.09.2021,2021_SCD_22955_9,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,TORAJAN RIVER BANK EROSION PROTECTION PROJECT UNDER RIDF- XXVI,TORAJAN RIVER BANK EROSION PROTECTION PROJECT UNDER RIDF- XXVI,Please refer Tender documents. ,NA ,"1,19,95,000",Civil Works,NA ,Tender,180.0,365.0,DHEMAJI,781005.0,NA ,NA ,NA ,Directorate of Soil Conservation,No ,No,"2,39,900",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents,Director,"Directorate of Soil Conservation Depts., Assam, R.G.B., Guwahati-05.",1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,123808,ANUJ CHUTIA,28-Sep-2021 11:59 AM,Rejected-Technical,Rejected,29-Oct-2021 12:37 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document with seal and sign of the bidder in each page,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,123253,Bishnu Kumar Bansal,28-Sep-2021 09:57 AM,Rejected-AOC,Rejected,29-Nov-2021 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,123355,Bubul Gogoi,28-Sep-2021 10:59 AM,Rejected-Technical,Rejected,29-Oct-2021 12:37 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,123769,DIGEN SWARGIWARY,28-Sep-2021 02:10 AM,Rejected-AOC,Rejected,29-Nov-2021 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,123699,Dipali Saikia,27-Sep-2021 05:03 PM,Rejected-AOC,Rejected,29-Nov-2021 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,123793,JAYANTA DIHINGIA,28-Sep-2021 10:36 AM,Rejected-AOC,Rejected,29-Nov-2021 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,123366,M/S Afcons,28-Sep-2021 10:58 AM,Rejected-AOC,Rejected,29-Nov-2021 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,123759,M/S J.K ENTERPRISE,28-Sep-2021 11:20 AM,Rejected-Technical,Rejected,29-Oct-2021 12:37 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,123811,M/s Purbanchal Suppliers & Contractors,27-Sep-2021 09:27 PM,Rejected-AOC,Rejected,29-Nov-2021 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
