Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Technical,summary,Arvind Lakhanpal,26-Apr-2021 02:33 PM,technical_70098.pdf,1.0,209726.0,MOHINDER PAL GOVT. CONTRACTOR,26-Apr-2021 09:59 AM,Rejected-Finance,L3,17-May-2021 05:17 PM,Finance,f,Arvind Lakhanpal,17-May-2021 04:34 PM,finance_70098.pdf,BOQ Comparative Chart,1.0,209634.0,Piar Chand Chauhan,INR,"8,749,756",EE,Internal,All,Arvind Lakhanpal,17-May-2021 05:17 PM,finsummary_70098.pdf (928.76 KB),19-Aug-2021,"INR 9,996,908",90.0,Arvind Lakhanpal,28-Nov-2021 08:19 PM,PiarchandAMPUHAL.pdf (313.00 KB),AOC,PWD,2021_PWD_46644_1,No.PW/TDD/NIT-TD,Annual Maintenance Plan for the year 2021-22 (i) Uhal Parnali road km. 0/0 to 5/700,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,27-Apr-2021 06:24 PM,28-Apr-2021 03:30 PM,techsummary_70098.pdf (1704.04 KB),AOC,PWD,No.PW/TDD/NIT-TD,2021_PWD_46644_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,32,500",No,fixed,,Nil,Nil,Annual Maintenance Plan for the year 2021-22 (i) Uhal Parnali road km. 0/0 to 5/700,P/L 30mm thick B.C. 2.5mm thick road marking thermoplastic strip in km. 0/0 to 4/0 ) HP0302MDR071 . (Under PMGSY ). (ii) Kasiri Mahadev Duhak Chhattruru road km. 0/0 to 6/0. (SH P/L 30mm thick B.C. 2.5mm thick road marking thermoplastic strip and V,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Tauni Devi Executive Engieer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"2,000",Nil,Nil,No,19-Apr-2021 09:00 AM,26-Apr-2021 11:00 AM,19-Apr-2021 09:00 AM,26-Apr-2021 10:30 AM,NA ,NA ,19-Apr-2021 09:00 AM,26-Apr-2021 10:30 AM,28-Apr-2021 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",AOC
,,,,,2.0,209550.0,MSC Roads and Bridges Private Limited,25-Apr-2021 05:52 PM,Rejected-Finance,L2,17-May-2021 05:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,AOC
,,,,,3.0,209634.0,Piar Chand Chauhan,24-Apr-2021 04:55 PM,Accepted-AOC,1,28-Nov-2021 08:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTS Registration (General Rule 21),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant Hot Mix plant witthin 30 Km",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,AOC
