S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in shape of demand draft,"5,000",EE Design,"Dr YSP UHF Nauni, Solan HP",No,Executive Engineer (Const),"o/o the SE-cum-Estate Officer Dr YSP UHF Nauni, Solan HP 173230",Dr. Yashwant Singh Parmar University of Horticulture and Forestry||Estate Organisation - YSPU||Construction Division - YSPU,UHF/Const-1/Partfile/020/1660 Dtd 03-11-2020,2020_YSPU_42129_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Offline,No,No,No,"10,000",No,fixed,,EE Design,"Dr YSP UHF Nauni, Solan","Invitation of Expression of Interest for Architectural Consultancy - developing permanent campus of College of Horticulture and Forestry at Thunag, Distt. Mandi HP.","Invitation of Expression of Interest for Architectural Consultancy - developing permanent campus of College of Horticulture and Forestry at Thunag, Distt. Mandi HP.",Please refer Tender documents. ,Amount to be quoted by the Consultant / Architect ,0.0,Consultancy,NA ,Tender,90.0,365.0,Thunag Mandi,175048.0,NA ,NA ,NA ,"Nauni, Solan",No ,No,1.0,Date Extension,Date,,03-Nov-2020 05:00 PM,21-Dec-2020 11:10 AM,03-Nov-2020 05:30 PM,21-Dec-2020 09:30 AM,NA ,NA ,03-Nov-2020 05:30 PM,21-Dec-2020 09:30 AM,30-Apr-2021 11:35 AM,AOC,Finance,As per qualified bid criteria M/s Muralage is the higher scorer and considered as successful bidder.,Vijay kumar Sharma,22-Nov-2021 11:21 AM,finance_62247.pdf,BOQ Comparative Chart,1,188872,ADS Designs Pvt Ltd,10-Dec-2020 01:20 PM,Not Admitted-Finance,Not qualified for AOC,22-Nov-2021 11:21 AM,Technical,Thirteen online bids received out of which two bids rejected at the time of opening of tender and after evaluation by the technical committee six bids admitted to open financial bid and five bids rejected due not scoring 80 percent in technical evaluation,Vijay kumar Sharma,30-Apr-2021 11:13 AM,technical_62247.pdf,Er Vijay Kumar Sharma,Internal,"The Registrar, The Comptroller, Estate officer, Dean Thunag, Asstt. Arch Smt Santosh Gautam, AE civil Er Rakesh Sharma",Ramesh Chand Sharma,30-Apr-2021 11:34 AM,30-Apr-2021 11:35 AM,techsummary_62247.pdf (55.48 KB),1.0,188860.0,Muralage,INR,"6,600,000",22-Nov-2021,"INR 6,600,000",365.0,Ramesh Chand Sharma,22-Nov-2021 05:03 PM,aocmuralage.pdf (1677.00 KB),"Invitation of Expression of Interest for Architectural Consultancy - developing permanent campus of College of Horticulture and Forestry at Thunag, Distt. Mandi HP.",Dr. Yashwant Singh Parmar University of Horticulture and Forestry||Estate Organisation - YSPU||Construction Division - YSPU,2020_YSPU_42129_1,UHF/Const-1/Partfile/020/1660 Dtd 03-11-2020,"Invitation of Expression of Interest for Architectural Consultancy - developing permanent campus of College of Horticulture and Forestry at Thunag, Distt. Mandi HP.",Er Vijay Kumar Sharma,Internal,"Assistant Engineer, Architect asstt., RS Guleria, Raj Kumar and Kushal Kumar",Ramesh Chand Sharma,22-Nov-2021 04:57 PM,finsummary_62247.pdf (115.37 KB),AOC
2.0,FDR - Fixed Deposit,,,.pdf,Earnest money in shape of FDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Change in financial terms and conditions,Other,,,,,,,,,,,AOC,,,,,,,2,188534,ARCH -EN DESIGN,19-Dec-2020 05:33 PM,Rejected-AOC,L3,22-Nov-2021 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Registration certificate of registered Architects / consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,change in financial conditions and Instruction to the bidders,Technical Bid,,,,,,,,,,,AOC,,,,,,,3,185756,Arcop Associates Private Limited,15-Dec-2020 06:40 PM,Rejected-AOC,L4,22-Nov-2021 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,PAN and GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,188522,ARINEM CONSULTANCY SERVICES PVT LTD,12-Dec-2020 02:11 PM,Rejected-AOC,L5,22-Nov-2021 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Impression of Interest duly filled and signed by the Architect / Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,192164,AVINASH KHOSLA AND ASSOCIATES,17-Dec-2020 05:29 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Apr-2021 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Tender document duly signed by the Consultant / Architect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,190674,CREATIVE CONSORTIUM,07-Dec-2020 05:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Apr-2021 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,187964,Gian P. Mathur & Associates Pvt. Ltd.,19-Dec-2020 08:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Apr-2021 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,191984,MRIDUANJALI ARCHITECTS AND ENGINEERS PVT.LTD,19-Dec-2020 07:29 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Apr-2021 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,188860,Muralage,25-Nov-2020 12:56 PM,Accepted-AOC,L1,22-Nov-2021 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,189042,RAJIV KHANNA AND ASSOCIATES PVT LTD.,08-Dec-2020 12:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Apr-2021 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
