Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Finance,fbosummary,Jitender Kumar,05-Aug-2021 01:32 PM,finance_74888.pdf,BOQ Comparative Chart,1.0,225227.0,Rajneesh KUMAR THAKUR,INR,"4,759,911.9",Technical,summary,Jitender Kumar,27-Jul-2021 11:24 AM,technical_74888.pdf,1.0,225256.0,Ayush Thakur,25-Jul-2021 02:03 PM,Rejected-Technical,Non-Responsive,02-Aug-2021 04:38 PM,11-Nov-2021,"INR 2,609,271",365.0,Jitender Kumar,11-Nov-2021 03:29 PM,AOCkutgarh.PDF (771.00 KB),letter No. 10609-18,Er. J.K. Gupta,Internal,AE Jhatingri DAO Supdt. HDM,Jitender Kumar,11-Nov-2021 03:23 PM,finsummary_74888.pdf (1149.40 KB),Er. J.K. Gupta,Internal,AE Jhatingri HDM Supdt.,Jitender Kumar,02-Aug-2021 04:38 PM,04-Aug-2021 11:00 AM,techsummary_74888.pdf (167.33 KB),PWD,2021_PWD_50073_1,PW-MDI-Tender-NIT- 4377-4411 dated 02.07.2021,Construction of additional accommodation for Govt. High School building at Kutgarh Tehsil Padhar Distt. Mandi (H.P.) Under execution of Civil works for strengthening of existing school infrastructure under RMSA,AOC,"46,700",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,PWD,PW-MDI-Tender-NIT- 4377-4411 dated 02.07.2021,2021_PWD_50073_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),Construction of additional accommodation for Govt. High School building at Kutgarh Tehsil Padhar Distt. Mandi (H.P.) Under execution of Civil works for strengthening of existing school infrastructure under RMSA,"C/O Science Lab, Library, Art and Craft room and Stair case including site development",As per bid documents ,NA ,"26,09,271",Civil Works - Buildings,NA ,Tender,120.0,365.0,Kutgarh,175013.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,19-Jul-2021 01:00 PM,26-Jul-2021 11:30 AM,19-Jul-2021 01:00 PM,26-Jul-2021 11:00 AM,NA ,NA ,19-Jul-2021 01:00 PM,26-Jul-2021 11:00 AM,04-Aug-2021 11:00 AM,"1,500","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",AOC
,,,,,,,,,,,,,,,,2.0,225350.0,Balwant SIngh Thakur,25-Jul-2021 09:26 PM,Rejected-Finance,L-2,11-Nov-2021 03:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,225288.0,Jay Kumar,26-Jul-2021 08:51 AM,Rejected-Finance,L-4,11-Nov-2021 03:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,225227.0,Rajneesh KUMAR THAKUR,24-Jul-2021 05:41 PM,Accepted-AOC,AOC,11-Nov-2021 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,225261.0,RAJU RAM,26-Jul-2021 10:37 AM,Rejected-Technical,Non-Responsive,02-Aug-2021 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,225124.0,Sohan lal,26-Jul-2021 08:39 AM,Rejected-Finance,L-3,11-Nov-2021 03:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
