Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
15-Nov-2021,"INR 999,207",30.0,Rajesh Kumar,17-Nov-2021 10:07 AM,Awardletter.pdf (1056.00 KB),Awardletter,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,09-Nov-2021 10:08 AM,finsummary_78519.pdf (524.15 KB),"Er. Rajesh Kumar, E.E.",Internal,"Er. Arvind AE Dinesh Kumar, Sr. Divisional Accounts Officer Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II,",Arvind Chaudhary,30-Oct-2021 07:05 PM,03-Nov-2021 10:00 AM,techsummary_78519.pdf (637.64 KB),PWD,2021_PWD_52527_1,Job 7 Restoration and Rain damages on Una Amb Road,Job 7 Restoration and Rain damages on Una Amb Road near Himotkarsh College and Govt. Primary School Lalsingi District Una km. 0-0 to 0-775 Sub Head C.O U-shape drain and 600mm dia Hume Pipe Culvert .,Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,09-Nov-2021 09:26 AM,finance_78519.pdf,BOQ Comparative Chart,1.0,238607.0,Suresh Kumar Govt Contractor,INR,"1,215,484",Technical,TechnicalBidOpeningSummary,Rajesh Kumar,05-Oct-2021 10:09 AM,technical_78519.pdf,1.0,238723.0,Balbir Singh Govt Contractor,29-Sep-2021 04:29 PM,Rejected-AOC,ok,17-Nov-2021 10:07 AM,AOC,1.0,ICICI BANK,27-Sep-2021 10:00 AM,04-Oct-2021 11:00 AM,27-Sep-2021 10:30 AM,04-Oct-2021 09:00 AM,NA ,NA ,27-Sep-2021 10:30 AM,04-Oct-2021 09:00 AM,03-Nov-2021 10:00 AM,PWD,Job 7 Restoration and Rain damages on Una Amb Road,2021_PWD_52527_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",Job 7 Restoration and Rain damages on Una Amb Road near Himotkarsh College and Govt. Primary School Lalsingi District Una km. 0-0 to 0-775 Sub Head C.O U-shape drain and 600mm dia Hume Pipe Culvert .,Job 7 Restoration and Rain damages on Una Amb Road near Himotkarsh College and Govt. Primary School Lalsingi District Una km. 0-0 to 0-775 Sub Head C.O U-shape drain and 600mm dia Hume Pipe Culvert .,Please refer to Bidding Documents ,NA ,"9,99,207",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,500.0,Nil,Nil,No,"20,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,239151.0,MAHESH ANGRA,03-Oct-2021 10:38 PM,Rejected-Technical,As per Evaluation Bids,30-Oct-2021 07:05 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,238842.0,Rakesh KUmar,02-Oct-2021 05:06 PM,Rejected-Technical,As per Evaluation Bids,30-Oct-2021 07:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,238607.0,Suresh Kumar Govt Contractor,29-Sep-2021 04:15 PM,Accepted-AOC,ok,17-Nov-2021 10:07 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,238767.0,Tilak Raj Govt Contractor,03-Oct-2021 08:10 PM,Rejected-Technical,As per Evaluation Bids,30-Oct-2021 07:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,238839.0,unique engg. solutions,02-Oct-2021 04:38 PM,Rejected-Technical,As per Evaluation Bids,30-Oct-2021 07:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,238893.0,Vikas puri,01-Oct-2021 01:10 PM,Rejected-Technical,As per Evaluation Bids,30-Oct-2021 07:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,AOC
