Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,SBD,Public Works Roads Department,TRC/SOPD-G/TEZPUR/2020-21,2021_PWD_20389_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"SUPERINTENDING ENGINEER, PWD, TEZPUR ROAD CIRCLE","O/O THE SUPERINTENDING ENGINEER, PWD, TEZPUR ROAD CIRCLE, TEZPUR",27-Jan-2021 10:30 AM,15-Feb-2021 11:00 AM,27-Jan-2021 11:00 AM,12-Feb-2021 12:00 PM,NA ,NA ,28-Jan-2021 11:00 AM,12-Feb-2021 12:00 PM,10-May-2021 09:00 AM,"2,35,800",Yes,fixed,,EE TEZPUR SOOTEA AND RANGAPARA TERRITORIAL ROAD DV,TEZPUR,1.0,DD - Demand Draft,1.0,Time Extension,Date,,Improvement of Hem Nagar Dwarakial Gaon Road,"Improvement of Hem Nagar Dwarakial Gaon Road under SOPD (G) for the year 2020-21, Tezpur LAC. Package No TRC/SOPD-G/TEZ/08",Please refer Tender documents. ,NA ,,Civil Works – Roads,NA ,Tender,180.0,120.0,TEZPUR,784001.0,NA ,NA ,NA ,"SUPERINTENDING ENGINEER, PWD, TEZPUR ROAD CIRCLE",No ,No,"2,400","EMPOWERED OFFICER, ASSAM STATE ROAD BOARD, ASSAM",GUWAHATI,No,AOC,Public Works Roads Department,2021_PWD_20389_8,TRC/SOPD-G/TEZPUR/2020-21,Improvement of Hem Nagar Dwarakial Gaon Road,1,107617,HAMENDRA SAIKIA,12-Feb-2021 10:38 AM,Rejected-AOC,L1,15-Nov-2021 03:45 PM,Technical,"Out of 10 bidders, 7 bidders are found technically responsive and 3 bidders are found technically non responsive.",Utpal Borah,08-May-2021 08:36 PM,technical_31710.pdf,Sri Kamakhya Prasad Das,Internal,Sri Jadav Ch Bora Sri Dipak Kr Barua Sri Pankaj Das Sri Rahul Chakrabarty Sri Malati Saikia,Utpal Borah,08-May-2021 08:38 PM,10-May-2021 09:00 AM,techsummary_31710.pdf (537.41 KB),AOC
,,.pdf,TECHNICAL QUALIFICATION DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,107146,KAUSHIK SAIKIA,10-Feb-2021 10:33 AM,Rejected-AOC,L1,15-Nov-2021 03:45 PM,,,,,,,,,,,,,AOC
,,.pdf,COST OF TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,105571,MD.Alaluddin,06-Feb-2021 01:17 AM,Rejected-AOC,L1,15-Nov-2021 03:45 PM,,,,,,,,,,,,,AOC
,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,107016,Md. Manuwar Hussain,09-Feb-2021 10:53 PM,Rejected-AOC,L1,15-Nov-2021 03:45 PM,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,107051,M/S MAHAMAYA CONSTRUCTION,10-Feb-2021 08:39 AM,Rejected-AOC,L1,15-Nov-2021 03:45 PM,,,,,,,,,,,,,AOC
,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,107102,M/S NATIONAL BUILDERS,10-Feb-2021 09:56 AM,Rejected-AOC,L1,15-Nov-2021 03:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,106738,M/S Shivam Trading & Co.,09-Feb-2021 10:54 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2021 08:36 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,105924,Sri Kumar Saugat Dey,07-Feb-2021 12:41 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2021 08:36 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,107190,SRI VISHAL BORAH,10-Feb-2021 11:40 AM,Accepted-AOC,L1,15-Nov-2021 03:45 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,107218,Subhash Darjee,10-Feb-2021 12:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-May-2021 08:36 PM,,,,,,,,,,,,,AOC
