Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar, Sr. Divisional Accounts Officer Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II,",Rajesh Kumar,04-Oct-2021 05:57 PM,finsummary_76929.pdf (498.27 KB),10-Nov-2021,"INR 2,528,850",60.0,Rajesh Kumar,12-Nov-2021 05:22 PM,Awardletter.pdf (1213.00 KB),Awardletter,PWD,2021_PWD_51471_1,Job 3 Construction of Link Road from Baba Balak Na,"Job 3 Construction of Link Road from Baba Balak Nath Mandir Badehar Jhurowal to Sasan Lamlehra road via Basti Pandit Cheelawala GP. Badehar km. 0-0 to 1-140 Sub Head Construction of Retaining wall, Providing and Laying Cement Concrete Paver block in","Er. Rajesh Kumar,E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar, Sr. Divisional Accounts Officer Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II,",Arvind Chaudhary,25-Sep-2021 02:57 PM,30-Sep-2021 11:00 AM,techsummary_76929.pdf (623.79 KB),Technical,BidsList,Rajesh Kumar,01-Sep-2021 01:25 PM,technical_76929.pdf,1.0,232516.0,Balbir Singh Govt Contractor,30-Aug-2021 03:59 PM,Accepted-AOC,ok,12-Nov-2021 05:22 PM,Finance,FinancialBids,Rajesh Kumar,04-Oct-2021 04:48 PM,finance_76929.pdf,BOQ Comparative Chart,1.0,232516.0,Balbir Singh Govt Contractor,INR,"2,268,433",AOC,1.0,ICICI BANK,23-Aug-2021 10:00 AM,31-Aug-2021 11:00 AM,23-Aug-2021 10:30 AM,31-Aug-2021 09:00 AM,NA ,NA ,23-Aug-2021 10:30 AM,31-Aug-2021 09:00 AM,30-Sep-2021 11:00 AM,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","45,500",No,fixed,,Nil,Nil,PWD,Job 3 Construction of Link Road from Baba Balak Na,2021_PWD_51471_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Job 3 Construction of Link Road from Baba Balak Nath Mandir Badehar Jhurowal to Sasan Lamlehra road via Basti Pandit Cheelawala GP. Badehar km. 0-0 to 1-140 Sub Head Construction of Retaining wall, Providing and Laying Cement Concrete Paver block in","Job 3 Construction of Link Road from Baba Balak Nath Mandir Badehar Jhurowal to Sasan Lamlehra road via Basti Pandit Cheelawala GP. Badehar km. 0-0 to 1-140 Sub Head Construction of Retaining wall, Providing and Laying Cement Concrete Paver block in",Please refer to Bidding Documents ,NA ,"25,28,850",Civil Works - Roads,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"1,500",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,232333.0,Charanjeet Singh Govt Contractor,29-Aug-2021 03:42 PM,Rejected-AOC,ok,12-Nov-2021 05:22 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,232590.0,Nitish Thakur,29-Aug-2021 10:26 AM,Rejected-AOC,ok,12-Nov-2021 05:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,232592.0,sachin ohri govt contractor,31-Aug-2021 12:07 AM,Rejected-AOC,ok,12-Nov-2021 05:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,232370.0,Tilak Raj Govt Contractor,30-Aug-2021 11:58 AM,Rejected-AOC,ok,12-Nov-2021 05:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rul,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking that information furnished with the bid (Name of works is correct in all respect).,,,,,AOC
