Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",01-Sep-2021 11:45 AM,08-Sep-2021 11:30 AM,01-Sep-2021 11:45 AM,08-Sep-2021 11:00 AM,NA ,NA ,01-Sep-2021 11:45 AM,08-Sep-2021 11:00 AM,10-Sep-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),"1,500","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,"63,000",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,1.0,ICICI BANK,PWD,PW-MDI-Tender-NIT- 7368-7404 dated 19.08.2021,2021_PWD_51810_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Periodic maintenance of Chubhlu to Farsh road (Village road) HP0805VR0046 under Annual Maintenance Plan for the year 2021-22,"Providing and laying 30mm thick Bituminous concrete, including profile correction in Km 0/0 to 3/0",As per bid documents ,NA ,"36,99,468",Civil Works - Roads,NA ,Tender,90.0,30.0,Mandi,175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,AOC,Finance,fbosummary,Jitender Kumar,10-Sep-2021 05:29 PM,finance_77477.pdf,BOQ Comparative Chart,1.0,234776.0,BHUPENDER KUMAR,INR,"4,453,260",1.0,234817.0,AJAY PATHANIA,07-Sep-2021 06:42 PM,Rejected-Finance,L-2,12-Nov-2021 02:56 PM,Technical,summary,Jitender Kumar,09-Sep-2021 11:44 AM,technical_77477.pdf,PWD,2021_PWD_51810_1,PW-MDI-Tender-NIT- 7368-7404 dated 19.08.2021,Periodic maintenance of Chubhlu to Farsh road (Village road) HP0805VR0046 under Annual Maintenance Plan for the year 2021-22,Er. J.K. Gupta,Internal,DAO Supdt. HDM,Jitender Kumar,09-Sep-2021 04:08 PM,10-Sep-2021 11:00 AM,techsummary_77477.pdf (823.40 KB),Er. J.K. Gupta,Internal,AE Panarsa DAO Supdt. HDM,Jitender Kumar,12-Nov-2021 02:56 PM,finsummary_77477.pdf (486.72 KB),12-Nov-2021,"INR 3,699,468",30.0,Jitender Kumar,12-Nov-2021 03:01 PM,AOCchubhluamp.PDF (632.00 KB),letter No. 13689-98,AOC
,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,234679.0,Ashadeep Construction Pvt Ltd,07-Sep-2021 11:03 AM,Rejected-Technical,Non-Responsive,09-Sep-2021 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,234776.0,BHUPENDER KUMAR,07-Sep-2021 03:03 PM,Accepted-AOC,AOC,12-Nov-2021 03:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.16)Mini amount of work done shown as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,"HPPWD Form No.7 / 8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
