Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
PAWAN KUMAR,Internal,manoj kumar,Pawan Kumar Garg,22-Jun-2021 05:52 PM,finsummary_67594.pdf (1307.07 KB),05-Nov-2021,"INR 3,559,782",90.0,Duni Chand Chauhan,05-Nov-2021 04:08 PM,Wdatul-chn.pdf (1413.00 KB),"(SH- widening of road at RD 0/0 to 0/165,R/wall at RD 0/0 to 0/020,0/050 to 0/065,0/215 to 0/230 0/180 to 0/260 and Kharunja stone soling at RD 0/0 to 0/400)",PWD,2021_PWD_44975_4,PW-RD-GA-T-20196-295dt12-2-21,Link road from Kanda to H.B Bauti Nallah km 0/0 to 1/200,PAWAN KUMAR,Internal,RANVIR CHAN,Duni Chand Chauhan,10-Mar-2021 04:14 PM,10-Mar-2021 04:15 PM,techsummary_67594.pdf (97.14 KB),Finance,Bid Opening Summary,Pawan Kumar Garg,10-Mar-2021 04:36 PM,finance_67594.pdf,BOQ Comparative Chart,1.0,202240.0,ATUL CHAUHAN,INR,"3,559,782",Technical,Bid Opening Summary,Duni Chand Chauhan,10-Mar-2021 04:13 PM,technical_67594.pdf,1.0,202240.0,ATUL CHAUHAN,08-Mar-2021 09:42 PM,Accepted-AOC,WORK COMPLETED ON DATED 22-07-2021,05-Nov-2021 04:08 PM,AOC,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,"34,100",No,fixed,,Nil,Nil,1.0,date extend,Date,,Link road from Kanda to H.B Bauti Nallah km 0/0 to 1/200,"(SH- widening of road at RD 0/0 to 0/165,R/wall at RD 0/0 to 0/020,0/050 to 0/065,0/215 to 0/230 0/180 to 0/260 and Kharunja stone soling at RD 0/0 to 0/400)",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,90.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,PWD,PW-RD-GA-T-20196-295dt12-2-21,2021_PWD_44975_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,02-Mar-2021 04:00 PM,10-Mar-2021 11:00 AM,02-Mar-2021 04:00 PM,09-Mar-2021 02:00 PM,NA ,NA ,02-Mar-2021 04:00 PM,09-Mar-2021 02:00 PM,10-Mar-2021 04:15 PM,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,500.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,202394.0,PRADEEP RAITKA,08-Mar-2021 10:08 PM,Rejected-Finance,rejected tender awarded to first lowest,22-Jun-2021 05:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EARNEST MONEY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND SALES TAX NUMBER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"physical submission submit should be compulsory otherwise tender will be rejected, UTR No copy shoul",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,AOC
