EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"64,000",Yes,fixed,,Nil,Nil,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,1.0,Corrigendum,Date,,PWD,No.BGN/2020-21-4858-77 dated 05.08.2021Job1,2021_PWD_51246_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,16-Aug-2021 11:00 AM,07-Sep-2021 11:00 AM,16-Aug-2021 11:30 AM,06-Sep-2021 06:00 PM,NA ,NA ,16-Aug-2021 11:30 AM,06-Sep-2021 06:00 PM,22-Sep-2021 10:30 AM,M/T Link road from Upper Thana to Kut Chatrar to Alsahan Harijan Basti Bhiambi and Village Lower Thana from,"Formation cutting, C/o R/wall, B/wall ,CD work,U and V-Shape Drain, Parapets and P/L GSB, WMM and Premix carpet with seal coat in Km 1/045 to 1/500 ) UNDER NABARD RIDF- XXVI",Please refer Tender documents. ,NA ,"31,87,235",Civil Works,NA ,Tender,120.0,180.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),AOC,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,21-Sep-2021 05:07 PM,22-Sep-2021 10:30 AM,techsummary_76584.pdf (480.87 KB),PWD,2021_PWD_51246_1,No.BGN/2020-21-4858-77 dated 05.08.2021Job1,M/T Link road from Upper Thana to Kut Chatrar to Alsahan Harijan Basti Bhiambi and Village Lower Thana from,18-Nov-2021,"INR 2,412,674",180.0,SHASHI PAL,18-Nov-2021 05:38 PM,AOCNABARD.pdf (1435.00 KB),Work Awarded,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,27-Sep-2021 01:34 PM,finsummary_76584.pdf (371.78 KB),Finance,Fin bid opened,SHASHI PAL,27-Sep-2021 01:31 PM,finance_76584.pdf,BOQ Comparative Chart,1.0,230303.0,Mohammed Javed,INR,"2,412,674",1.0,231643.0,ANIL KUMAR,06-Sep-2021 03:21 PM,Not Admitted-Fee/PreQual/Technical,Others-Original document i.e. affidavit etc. not received,21-Sep-2021 05:05 PM,Technical,Tech bid opened,SHASHI PAL,21-Sep-2021 05:05 PM,technical_76584.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money (Online mode),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,231389.0,Mehar Chand,05-Sep-2021 08:27 PM,Rejected-AOC,Higher side,18-Nov-2021 05:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,230303.0,Mohammed Javed,06-Sep-2021 04:31 PM,Accepted-AOC,Lowest,18-Nov-2021 05:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,234328.0,Rajinder Kumar,05-Sep-2021 07:57 PM,Rejected-AOC,Higher Side,18-Nov-2021 05:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The maintenance sheet as per bid document at Page-84 duly signed by the contractor uploaded PDF,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
