Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
27-Nov-2021,"INR 1,368,023",60.0,Jeet Singh Thakur,27-Nov-2021 07:09 PM,5881-87.pdf (796.00 KB),Improvement of blackspots and providing steel Crash Barrier on various roads under Chamba Division Providing Crash Barrier on Ludera Suri Kaila road in Km 0/0 to 15/540 at various Rds,Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,06-Aug-2021 06:23 PM,finsummary_72911.pdf (188.57 KB),Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,05-Jul-2021 07:59 PM,08-Jul-2021 11:30 AM,techsummary_72911.pdf (243.48 KB),PWD,2021_PWD_48626_3,No.PWC-WA-II- 2498-597 dated 3.6.21,Improvement of blackspots and providing steel Crash Barrier on various roads under Chamba Division Providing Crash Barrier on Ludera Suri Kaila road in Km 0/0 to 15/540 at various Rds,Technical,BOS,Jeet Singh Thakur,01-Jul-2021 05:31 PM,technical_72911.pdf,1.0,218436.0,Rajat Sharma,23-Jun-2021 07:54 AM,Rejected-Finance,2nd lowest,06-Aug-2021 06:24 PM,1.0,218494.0,Subhash Kumar,INR,"2,308,019",Finance,BOS,Jeet Singh Thakur,06-Aug-2021 06:16 PM,finance_72911.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,500.0,Nil,Nil,No,16-Jun-2021 05:00 PM,25-Jun-2021 11:30 AM,16-Jun-2021 05:00 PM,23-Jun-2021 05:00 PM,NA ,NA ,16-Jun-2021 05:00 PM,23-Jun-2021 05:00 PM,08-Jul-2021 11:30 AM,PWD,No.PWC-WA-II- 2498-597 dated 3.6.21,2021_PWD_48626_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Improvement of blackspots and providing steel Crash Barrier on various roads under Chamba Division Providing Crash Barrier on Ludera Suri Kaila road in Km 0/0 to 15/540 at various Rds,Improvement of blackspots and providing steel Crash Barrier on various roads under Chamba Division Providing Crash Barrier on Ludera Suri Kaila road in Km 0/0 to 15/540 at various Rds,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,"27,400",No,fixed,,Nil,Nil,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,218494.0,Subhash Kumar,23-Jun-2021 08:57 AM,Accepted-AOC,1st lowest,27-Nov-2021 07:09 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of machinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Crash barrier should be as per IS 1367 and IS 1364 as per MoRTH clause 810 documentary proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
