Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
11-Nov-2021,"INR 1,995,279",30.0,Jitender Kumar,11-Nov-2021 04:28 PM,AOCpalsed.PDF (607.00 KB),letter No. 10717-25,Er. J.K. Gupta,Internal,AE Panarsa DAO Supdt. HDM,Jitender Kumar,11-Nov-2021 04:24 PM,finsummary_77471.pdf (465.86 KB),Er. J.K. Gupta,Internal,DAO Supdt. HDM,Jitender Kumar,09-Sep-2021 04:04 PM,10-Sep-2021 11:00 AM,techsummary_77471.pdf (809.00 KB),PWD,2021_PWD_51805_1,PW-MDI-Tender-NIT- 7368-7404 dated 19.08.2021,"Periodic maintenance of Palsed Kathyari road (PMGSY rural road) MRL-035 under Performance Based Financial Incentive 2019-20 (during 2020-21) by MoRD to eligible States, as Central Assistance",Technical,summary,Jitender Kumar,09-Sep-2021 11:47 AM,technical_77471.pdf,1.0,234818.0,AJAY PATHANIA,07-Sep-2021 06:47 PM,Accepted-AOC,AOC,11-Nov-2021 04:28 PM,Finance,fbosummary,Jitender Kumar,10-Sep-2021 05:31 PM,finance_77471.pdf,BOQ Comparative Chart,1.0,234818.0,AJAY PATHANIA,INR,"3,030,720",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"37,400",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,1.0,ICICI BANK,PWD,PW-MDI-Tender-NIT- 7368-7404 dated 19.08.2021,2021_PWD_51805_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,500.0,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,"Periodic maintenance of Palsed Kathyari road (PMGSY rural road) MRL-035 under Performance Based Financial Incentive 2019-20 (during 2020-21) by MoRD to eligible States, as Central Assistance",Providing and laying 30mm thick bituminous concrete including profile correction in Km 2/0 to 4/0,As per bid documents ,NA ,"19,95,279",Civil Works - Roads,NA ,Tender,90.0,30.0,Mandi,175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,01-Sep-2021 11:00 AM,08-Sep-2021 11:00 AM,01-Sep-2021 11:00 AM,08-Sep-2021 11:00 AM,NA ,NA ,01-Sep-2021 11:00 AM,08-Sep-2021 11:00 AM,10-Sep-2021 11:00 AM,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,234707.0,Ashadeep Construction Pvt Ltd,07-Sep-2021 12:18 PM,Rejected-Technical,Non-Responsive,09-Sep-2021 04:04 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,234783.0,BHUPENDER KUMAR,07-Sep-2021 03:21 PM,Rejected-Finance,L-2,11-Nov-2021 04:24 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
