Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_52063_1,NHN-SMROO-722- 7639-7719 dt 07-09-2021,Augmentation and Improvement of LWSS Dadahu in Tehsil Dadahu Distt. Sirmour,1.0,235505.0,M/S Sharma Enterpirses,INR,"1,017,799",Er Ashish Rana,Internal,TA Supdt HDM DAo EE,Ashish Rana,18-Nov-2021 12:00 PM,finsummary_77781.pdf (639.80 KB),1.0,235683.0,ABTAR SINGH AND COMPANY,15-Sep-2021 04:20 PM,Rejected-Finance,Reject,18-Nov-2021 12:00 PM,Er Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,21-Sep-2021 12:30 PM,21-Sep-2021 12:35 PM,techsummary_77781.pdf (317.47 KB),18-Nov-2021,"INR 814,656",90.0,Ashish Rana,18-Nov-2021 12:02 PM,AOC.pdf (640.00 KB),Award to Contractor,Technical,Technical Bid Opening Summary,Ashish Rana,21-Sep-2021 12:28 PM,technical_77781.pdf,Finance,Financial Bid Opening Summary,Ashish Rana,21-Sep-2021 12:56 PM,finance_77781.pdf,BOQ Comparative Chart,AOC,"16,300",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Augmentation and Improvement of LWSS Dadahu in Tehsil Dadahu Distt. Sirmour,"Drilling, Lowering, assembly and development of T/well 300mm dia, 30 mtrs deep",Please refer Tender documents. ,NA ,"8,14,656",Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 7639-7719 dt 07-09-2021,2021_HPIPH_52063_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,08-Sep-2021 05:00 PM,16-Sep-2021 11:30 AM,08-Sep-2021 05:00 PM,16-Sep-2021 11:00 AM,NA ,NA ,08-Sep-2021 05:00 PM,16-Sep-2021 11:00 AM,21-Sep-2021 12:35 PM,AOC
,,,,,,,,,,,,,,,2.0,235827.0,H.N.SINGH AND COMPANY,15-Sep-2021 02:44 PM,Rejected-Finance,Reject,18-Nov-2021 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,235782.0,M/S. Mast Ram Jaswal And Co.,14-Sep-2021 07:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Sep-2021 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV Vibhag in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4.0,235505.0,M/S Sharma Enterpirses,14-Sep-2021 06:56 AM,Accepted-AOC,AOC,18-Nov-2021 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5.0,235923.0,SUKHDEV ENGINEERING WORKS,15-Sep-2021 04:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Sep-2021 12:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6.0,235790.0,Vats Associates,16-Sep-2021 06:08 AM,Rejected-Finance,Reject,18-Nov-2021 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An experience of similar kind of work is required as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
