Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,1.0,ICICI BANK,Periodic maintenance of Tang Uthragran Ramehar Baldhar Jassour road (HP0408VR0030) under Additional AMP for the year 2021-22 for Rural road Non PMGSY) in Distt Kangra(HP)(SH-Providing and laying Bituminous Concrete pavement at Km 2/000 to 4/000),Periodic maintenance of Tang Uthragran Ramehar Baldhar Jassour road (HP0408VR0030) under Additional AMP for the year 2021-22 for Rural road Non PMGSY) in Distt Kangra(HP)(SH-Providing and laying Bituminous Concrete pavement at Km 2/000 to 4/000),Please refer Tender documents. ,NA ,"15,38,942",Civil Works - Roads,NA ,Tender,120.0,30.0,Tanda,176002.0,NA ,NA ,NA ,O/o Executive Engineer HP PWD Division Tanda,No ,No,500.0,Nil,Nil,No,Executive Engineer,O/o Executive Engineer HP PWD Division Tanda,PWD,PWD- Civil-4278-4308-Tanda,2021_PWD_50521_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"30,600",No,fixed,,Nil,Nil,26-Aug-2021 10:00 AM,06-Sep-2021 11:30 AM,26-Aug-2021 10:00 AM,06-Sep-2021 11:00 AM,NA ,NA ,26-Aug-2021 10:00 AM,06-Sep-2021 11:00 AM,10-Sep-2021 11:00 AM,AOC,Finance,Sum,Suresh Kumar Walia,17-Sep-2021 03:39 PM,finance_77195.pdf,BOQ Comparative Chart,Dr Suresh Kumar Walia,Internal,Er Surinder AE Pankaj Rana Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,09-Sep-2021 11:22 AM,10-Sep-2021 11:00 AM,techsummary_77195.pdf (746.91 KB),Technical,Sum,Suresh Kumar Walia,09-Sep-2021 11:21 AM,technical_77195.pdf,1.0,233827.0,Chamunda Construction Works,03-Sep-2021 05:46 PM,Accepted-AOC,Award,24-Nov-2021 11:17 AM,28-Sep-2021,"INR 1,538,942",30.0,Suresh Kumar Walia,24-Nov-2021 11:17 AM,Award.pdf (1846.00 KB),Award,1.0,233827.0,Chamunda Construction Works,INR,"2,226,056",Dr Suresh Kumar Walia,Internal,Er Surinder AE Pankaj Rana Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,17-Sep-2021 03:41 PM,finsummary_77195.pdf (194.49 KB),PWD,2021_PWD_50521_14,PWD- Civil-4278-4308-Tanda,Periodic maintenance of Tang Uthragran Ramehar Baldhar Jassour road (HP0408VR0030) under Additional AMP for the year 2021-22 for Rural road Non PMGSY) in Distt Kangra(HP)(SH-Providing and laying Bituminous Concrete pavement at Km 2/000 to 4/000),AOC
,,.pdf,GST Registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,233317.0,Ujjawal Singh,06-Sep-2021 10:13 AM,Rejected-Finance,Lowest 2,17-Sep-2021 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of Machinery and Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
