S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"5,44,200",No,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-Tender/20-1592-99 dt 28.05.2021,2021_PWD_49378_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Construction of additional accommodation to HPPWD Rest House at Sundernagar Distt. Mandi (HP),SH Construction of building portion with WS and SI,As per bid document ,NA ,"2,72,08,170",Civil Works,Building ,Tender,75.0,730.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,Executive Engineer,Executive Engineer Sunder Nagar Division HPPWD Sundernagar,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"5,000",EE Sunder,Sundernagar,No,03-Jul-2021 10:00 AM,13-Jul-2021 11:30 AM,03-Jul-2021 10:00 AM,13-Jul-2021 10:00 AM,NA ,NA ,03-Jul-2021 10:00 AM,13-Jul-2021 10:00 AM,20-Jul-2021 02:30 PM,AOC,1.0,222431.0,SHIV RAM,INR,"37,869,341",Finance,FBOS,Naresh Raj Chandel,22-Jul-2021 05:17 PM,finance_73954.pdf,BOQ Comparative Chart,1.0,222431.0,SHIV RAM,12-Jul-2021 10:29 PM,Accepted-AOC,Being lowest,30-Nov-2021 10:53 AM,Technical,BOS,Naresh Raj Chandel,17-Jul-2021 10:17 AM,technical_73954.pdf,PWD,2021_PWD_49378_1,PW-SNR-CB-E-Tender/20-1592-99 dt 28.05.2021,Construction of additional accommodation to HPPWD Rest House at Sundernagar Distt. Mandi (HP),Er. D.R. Chauhan Executive Engineer,Internal,N.R. Chandel AE Suket Sushil Kumar DAO Gr-I Amar Singh HDM Rattan Lal Supdt Accounts,Naresh Raj Chandel,19-Jul-2021 03:39 PM,20-Jul-2021 02:30 PM,techsummary_73954.pdf (864.38 KB),Chief Engineer(MZ) HPPWD Mandi,Internal,S.E. 1st Circle Mandi S.E. (D and W) MZ EE SNR EE (D) MZ Deputy Cont. F and A MZ Planning Officer (Bldg) MZ,Naresh Raj Chandel,04-Oct-2021 12:43 PM,finsummary_73954.pdf (1222.05 KB),27-Nov-2021,"INR 37,869,341",730.0,Chaman Singh,30-Nov-2021 10:53 AM,AOCRestHouseSNR.pdf (1720.00 KB),AOC issued,AOC
2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,222659.0,Suket Construction Co. Pvt. Ltd.,12-Jul-2021 03:47 PM,Rejected-AOC,Not found lowest,30-Nov-2021 10:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
