Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
20-Nov-2021,"INR 173,549,229",730.0,Vivek Hazri,20-Nov-2021 10:53 AM,Uniproaward_000190.pdf (1745.00 KB),DNIT amount,Finance,2 No bidders participated in the bid successfully,Vivek Hazri,31-Aug-2021 06:18 PM,finance_75726.pdf,BOQ Comparative Chart,Technical,Both the bidders are found eligible,Vivek Hazri,31-Aug-2021 05:54 PM,technical_75726.pdf,Er Dharmendra Gill CE MZ,Internal,Er Upender Vaidya SE SNR Er B.S. Thakur SE D MZ EED Er Vivek Hazri EE MND Er DC Rawat AED Sh Ashwani Sharma AC MZ,Vivek Hazri,31-Aug-2021 05:57 PM,31-Aug-2021 06:00 PM,techsummary_75726.pdf (1974.21 KB),1.0,228951.0,The Spunpipe and Construction Co Baroda Pvt Ltd,13-Aug-2021 11:14 AM,Rejected-Finance,Other than lowest,20-Nov-2021 10:49 AM,1.0,229662.0,Unipro Techno Infrastructure Pvt Ltd,INR,"264,502,557","HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",2021_HPIPH_50637_1,7096-7145,Providing LWSS to PC Habitations in GP Bhargaon Kotli Dhanyara Uperli Surari Khalanoo Tehsil Sadar Distt Mandi,Er Dharmendra Gill CEMZ,Internal,Er Upernder Vaidya SE SNR Er BS Thakur SED Er Vivek Hazri EE MND Er DC Rawat AED Ashwani Sharma AFA,Vivek Hazri,20-Nov-2021 10:49 AM,finsummary_75726.pdf (1974.21 KB),AOC,"2,500",EE Mandi,Mandi,Yes,Providing LWSS to PC Habitations in GP Bhargaon Kotli Dhanyara Uperli Surari Khalanoo Tehsil Sadar Distt Mandi,Drilling Lowering of Bore Well 50 M Deep C/O Rail cum Trolly System with Winch Room C/O Source Intake Chambers C/O 0.72 MLD Water Treatment Plants C/O Sedimentation Tanks Slow sand Filter Beds C/O Pump Houses Providing Laying Jointing and,Please refer Tender documents. ,NA ,"17,35,49,229",Civil Works,NA ,Tender,120.0,730.0,Kotli Bhargoun,175001.0,NA ,NA ,NA ,JSV Division Mandi,No ,No,Executive Enginee Jal Shakti Division Mandi,Executive Enginee Jal Shakti Division Mandi Tarna Hill,"17,35,500",Yes,fixed,,EE Mandi,Mandi,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",7096-7145,2021_HPIPH_50637_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender form cost,1.0,ICICI BANK,31-Jul-2021 05:00 PM,16-Aug-2021 11:30 AM,31-Jul-2021 05:00 PM,13-Aug-2021 05:00 PM,NA ,NA ,31-Jul-2021 05:00 PM,13-Aug-2021 05:00 PM,31-Aug-2021 06:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,229662.0,Unipro Techno Infrastructure Pvt Ltd,13-Aug-2021 12:05 PM,Accepted-AOC,Lowest One,20-Nov-2021 10:53 AM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate copy of registration in appropriate class with HP jal Shakti vibhag state public health,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN GST and Copy of Income Tax return,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking that I have carefully studied all the terms and condition stipulated in,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding digital signature certificate,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual financial turnover during last 3 years ending 31 march,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience certificate of similar work during last 7 years,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pump characterstics curves in PDF indicating Horse power required at duty point Specification Make,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
