Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Instrument Type,Tender Stage
EE,Internal,Supdt/HDM/AE,Arvind Lakhanpal,03-Jan-2021 08:23 PM,finsummary_60609.pdf (217.15 KB),22-May-2021,"INR 2,630,643",90.0,Arvind Lakhanpal,23-Nov-2021 03:46 PM,VivekYamunahostel.pdf (398.00 KB),AOC,PWD,2020_PWD_41081_1,PW/TDD/NIT/21-10497dt.03.09,"Special Repair to Yamuna Hostel at Sainik School Sujanpur Tihra (SH-Replacement of old corrugated sheet roofing and providing and fixing prepainted sheet roofing, A.C. ceiling and steel work etc.).",EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,08-Oct-2020 02:58 PM,09-Oct-2020 03:30 PM,techsummary_60609.pdf (1018.23 KB),Finance,Summary,Arvind Lakhanpal,03-Jan-2021 08:20 PM,finance_60609.pdf,BOQ Comparative Chart,1.0,180449.0,VIVEK GUPTA,INR,"3,755,550",Technical,Summary,Arvind Lakhanpal,05-Oct-2020 07:46 PM,technical_60609.pdf,1.0,180749.0,Dinesh Thakur,01-Oct-2020 10:00 AM,Rejected-AOC,higher,23-Nov-2021 03:46 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,1.0,Date,Date,,"47,000",Yes,fixed,,EE Tauni Devi,Hamirpur,PWD,PW/TDD/NIT/21-10497dt.03.09,2020_PWD_41081_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"1,500","Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,"Special Repair to Yamuna Hostel at Sainik School Sujanpur Tihra (SH-Replacement of old corrugated sheet roofing and providing and fixing prepainted sheet roofing, A.C. ceiling and steel work etc.).","Replacement of old corrugated sheet roofing and providing and fixing prepainted sheet roofing, A.C. ceiling and steel work etc",Please refer Tender documents. ,NA ,"26,30,643",Civil Works,NA ,Tender,90.0,90.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,24-Sep-2020 06:30 PM,01-Oct-2020 11:00 AM,24-Sep-2020 06:30 PM,01-Oct-2020 10:30 AM,NA ,NA ,24-Sep-2020 06:30 PM,01-Oct-2020 10:30 AM,09-Oct-2020 03:30 PM,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,180723.0,SAJEEV KUMAR GOVT.CONTRACTOR,30-Sep-2020 05:45 PM,Rejected-AOC,higher,23-Nov-2021 03:46 PM,AOC,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,180737.0,Sourabh Pathania Govt Contractor,01-Oct-2020 07:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Oct-2020 07:47 PM,AOC,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,180642.0,varun gupta,30-Sep-2020 01:31 PM,Rejected-Technical,Not Admitted,08-Oct-2020 03:00 PM,AOC,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,180449.0,VIVEK GUPTA,30-Sep-2020 12:02 PM,Accepted-AOC,1,23-Nov-2021 03:46 PM,AOC,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
