Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,BOS,Rajeev Kumar,30-Apr-2021 01:53 PM,technical_70070.pdf,1.0,209566.0,construction,23-Apr-2021 03:22 PM,Rejected-Finance,2nd Lowest,19-Jul-2021 12:34 PM,1.0,209301.0,Rahul Thakur,INR,"3,957,828",Finance,Summary,Rajeev Kumar,19-Jul-2021 12:31 PM,finance_70070.pdf,BOQ Comparative Chart,19-Jul-2021,"INR 3,816,069",60.0,Deepak Mahajan,27-Nov-2021 03:33 PM,AL.pdf (1307.00 KB),Award Letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Rajeev Kumar,19-Jul-2021 12:34 PM,finsummary_70070.pdf (17.60 KB),Executive Engineer Salooni,Internal,Senior Assistant Saloni Superintendent Salooni HDM Salooni and Assistant Engineer Salooni,Rajeev Kumar,30-Apr-2021 01:56 PM,03-May-2021 11:30 AM,techsummary_70070.pdf (131.04 KB),PWD,2021_PWD_46618_2,EE Salooni Letter No. 19-68 dated 05-04-2021,Periodical Maintenance on Bathri Sundla Langera J and K Boundary road (MDR89) under AMP for the year 2021-2022,AOC,PWD,EE Salooni Letter No. 19-68 dated 05-04-2021,2021_PWD_46618_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,"Executive Engineer, Salooni Division HPPWD Salooni",1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,Periodical Maintenance on Bathri Sundla Langera J and K Boundary road (MDR89) under AMP for the year 2021-2022,"Providing and laying 30mm thick bituminous concrete and PCC drain in K.M. 52/0 to 53/0, 55/0 to 56/0 and 56/0 to 57/0",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Salooni,176320.0,NA ,NA ,NA ,"Executive Engineer, Salooni Division HPPWD Salooni",No ,No,"76,400",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,17-Apr-2021 12:30 PM,24-Apr-2021 11:30 AM,17-Apr-2021 12:30 PM,24-Apr-2021 11:00 AM,NA ,NA ,17-Apr-2021 12:30 PM,24-Apr-2021 11:00 AM,03-May-2021 11:30 AM,AOC
,,,,,2.0,209301.0,Rahul Thakur,23-Apr-2021 03:56 PM,Accepted-AOC,Accepted,27-Nov-2021 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 and as per invitation of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary proof of Similar Nature work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7-8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Documentary proof for ownership of 30/40 tonne capacity of Hotmixplant,paver finisher and RoadRoller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
