Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EE,Internal,AGM SJPNL AO,Rajesh Thakur,28-Aug-2021 12:42 PM,28-Aug-2021 12:45 PM,techsummary_75936.pdf (4115.95 KB),1.0,229385.0,GIAN SHARMA GOVT CONTRECTOR,INR,"1,950,855",Municipal Corporation Shimla,2021_MC_50776_9,2051Dated22072021,Construction of Ambulance road from Pal Niwas to Bala Ram House in ward No 10 Tuti Kandi (SH Construction of Retaining wall Toe wall in CC 1 3 6),EE,Internal,AGM SJPNL AO,Rajesh Thakur,15-Nov-2021 12:57 PM,finsummary_75936.pdf (294.95 KB),1,229207,BHARAT SINGH CHAUHAN,11-Aug-2021 01:05 PM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,Technical,BOS,Rajesh Thakur,28-Aug-2021 11:32 AM,technical_75936.pdf,Finance,BOS,Gopesh Behl,28-Aug-2021 01:21 PM,finance_75936.pdf,BOQ Comparative Chart,15-Nov-2021,"INR 1,950,855.8",90.0,Rajesh Thakur,15-Nov-2021 12:58 PM,2021_MC_50776_9.pdf (518.00 KB),AOC,AOC,Municipal Corporation Shimla,2051Dated22072021,2021_MC_50776_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Ambulance road from Pal Niwas to Bala Ram House in ward No 10 Tuti Kandi (SH Construction of Retaining wall Toe wall in CC 1 3 6),Construction of Ambulance road from Pal Niwas to Bala Ram House in ward No 10 Tuti Kandi (SH Construction of Retaining wall Toe wall in CC 1 3 6),Please refer Tender Documents ,NA ,"16,77,990",Civil Works,NA ,Tender,120.0,90.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,Executive Engineer RB MC Shimla,Executive Engineer RB MC Shimla,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per e-procurement notice,"33,600",No,fixed,,Executive Engineer RB MC Shimla,Shimla,03-Aug-2021 06:00 PM,13-Aug-2021 02:00 PM,03-Aug-2021 06:00 PM,12-Aug-2021 05:00 PM,NA ,NA ,03-Aug-2021 06:00 PM,12-Aug-2021 05:00 PM,28-Aug-2021 12:45 PM,500.0,Executive Engineer RB MC Shimla,Shimla,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,229595,BHIM CHAND SHARMA,12-Aug-2021 04:50 PM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Certificate of Registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,229580,Dalip Singh,12-Aug-2021 04:30 PM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,229648,devinder singh,12-Aug-2021 04:38 PM,Rejected-Technical,Document not submitted hence rejected,28-Aug-2021 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copy of tender document i.e. e procurement notice, Performa and Form MW-7 duly signed",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,229560,DEV RAJ KAPTA,12-Aug-2021 02:27 PM,Rejected-Technical,Rejected,28-Aug-2021 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Quantity (BOQ),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,229475,FAKIR CHAND,12-Aug-2021 10:38 AM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,229385,GIAN SHARMA GOVT CONTRECTOR,12-Aug-2021 11:48 AM,Accepted-AOC,Accepted due to lowest rates,15-Nov-2021 12:58 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,227655,himesh,12-Aug-2021 10:29 AM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,229519,MANTU KUMAR GUPTA,12-Aug-2021 01:27 PM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,229280,narinder kumar,12-Aug-2021 03:40 PM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,229528,PARDEEP KUMAR,12-Aug-2021 01:21 PM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,12,229476,SUNIL SHARMA,12-Aug-2021 10:43 AM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,13,229218,SUNIL SHARMA,11-Aug-2021 11:51 AM,Rejected-Finance,Rejected,15-Nov-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
