Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,500.0,DFO Suket,SBI Chatrokhari Sunder Nagar,No,Himachal Pradesh Forest Department||Mandi - HPFD||Suket Division - HPFD,7440A,2019_FD_32432_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,DFO Suket,Divisional Forest Officer Suket Forest Division at Sunder Nagar,1.0,DD - Demand Draft,04-Nov-2019 09:00 AM,15-Nov-2019 02:00 PM,04-Nov-2019 02:00 PM,15-Nov-2019 11:00 AM,04-Nov-2019 03:00 PM ,05-Nov-2019 05:00 PM ,05-Nov-2019 02:00 PM,15-Nov-2019 11:00 AM,15-Nov-2019 06:50 PM,"25,000",No,fixed,,DFO Suket,SBI Chatrokhari Sunder Nagar,C/o Steel Foot Bridge,Bridge over Ghangal Khud,Please refer Tender documents. ,NA ,"10,83,575",Civil Works,NA ,Tender,90.0,90.0,village Kutal GP Chambi Jai Devi Forest Range,175018.0,NA ,NA ,NA ,DFO Office Sunder Nagar,No ,No,AOC,1.0,136074.0,LEKH RAJ,INR,"1,135,770",Himachal Pradesh Forest Department||Mandi - HPFD||Suket Division - HPFD,2019_FD_32432_1,7440A,C/o Steel Foot Bridge,Sh. Nigmanand Sharma,Internal,1.Suresh Dhiman JDM 2. Sharvan Kumar RFO 3. Parveen Sharma Supdt.,SUBHASH PRASHAR,15-Nov-2019 06:46 PM,15-Nov-2019 06:50 PM,techsummary_46657.pdf (638.34 KB),Finance,Seven bids have been received and found in order,SUBHASH PRASHAR,28-Nov-2019 12:40 PM,finance_46657.pdf,BOQ Comparative Chart,10-Dec-2019,"INR 1,174,128.21",90.0,SUBHASH PRASHAR,10-Dec-2019 05:43 PM,Lekhrajaward.pdf (195.00 KB),Contract is awarded,Subhash Chand Prashar,Internal,"Sharvan Kumar, Nigmanand Sharma, Parveen Sharma, Suresh Dhiman",SUBHASH PRASHAR,10-Dec-2019 02:45 PM,finsummary_46657.pdf (589.19 KB),1,136345,Acute Engineers and Contractor OPC Pvt Ltd.,14-Nov-2019 11:19 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:45 PM,Technical,Technical Evaluation,SUBHASH PRASHAR,15-Nov-2019 06:37 PM,technical_46657.pdf,AOC
,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,136312,ANIL KAUNDAL,14-Nov-2019 05:24 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:45 PM,,,,,,AOC
,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,136346,KARAM SINGH,15-Nov-2019 10:55 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Nov-2019 06:37 PM,,,,,,AOC
,,.pdf,GST registration general rules No. 21 and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,136339,KUSHAL SINGH RAGHAV,14-Nov-2019 09:56 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:45 PM,,,,,,AOC
,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,136074,LEKH RAJ,12-Nov-2019 07:54 PM,Accepted-AOC,Negotiated Amount,10-Dec-2019 05:43 PM,,,,,,AOC
,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,136333,Mohan Singh Steel Furniture IUndustri,14-Nov-2019 08:41 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:45 PM,,,,,,AOC
,,.pdf,detail of work done last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,136294,Mr. Sohan Lal,14-Nov-2019 05:29 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:45 PM,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,136261,prakul sharma contractor,14-Nov-2019 12:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Nov-2019 06:37 PM,,,,,,AOC
,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,135946,PRATAP SINGH,11-Nov-2019 01:43 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,136334,Rajat Sharma,14-Nov-2019 08:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Nov-2019 06:37 PM,,,,,,AOC
