Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Technical bid summary,Dalip singh Patial,15-Nov-2019 04:27 PM,technical_46696.pdf,1.0,136267.0,CHILL POINT ENGINEERS PVT LTD,14-Nov-2019 12:56 PM,Rejected-Finance,Rejected being L2 firm,18-Nov-2019 11:18 AM,1.0,136285.0,SHARMA ELECTRICAL CO.,INR,"580,000",Finance,Financial bid summary,Dalip singh Patial,18-Nov-2019 11:16 AM,finance_46696.pdf,BOQ Comparative Chart,28-Nov-2019,"INR 580,000",120.0,Dalip singh Patial,20-Dec-2019 01:37 PM,AOC.pdf (529.00 KB),work awarded to L1 firm M/s Sharma Electrical Co.,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Kapil Dev Sr Asstt,Dalip singh Patial,18-Nov-2019 11:18 AM,finsummary_46696.pdf (425.36 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Kapil Dev Sr Asstt,Dalip singh Patial,15-Nov-2019 04:29 PM,15-Nov-2019 04:35 PM,techsummary_46696.pdf (361.81 KB),PWD,2019_PWD_32459_1,PW/MED/TA/NIT/ e-notice/19-20-5315-20 dt 19.10.19,"Running operation and general repair of HVAC System Hot Boiler installed in the campus of Shri Lal Bahadur Shashri Govt. Medical College and Hospital, Nerchowk, District Mandi HP",AOC,350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/19-20-5315-20 dt 19.10.19,2019_PWD_32459_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,07-Nov-2019 10:00 AM,15-Nov-2019 11:30 AM,07-Nov-2019 10:00 AM,15-Nov-2019 10:00 AM,NA ,NA ,07-Nov-2019 10:00 AM,15-Nov-2019 10:00 AM,15-Nov-2019 04:35 PM,1.0,DD - Demand Draft,"Running operation and general repair of HVAC System Hot Boiler installed in the campus of Shri Lal Bahadur Shashri Govt. Medical College and Hospital, Nerchowk, District Mandi HP","Running operation and general repair of HVAC System Hot Boiler installed in the campus of Shri Lal Bahadur Shashri Govt. Medical College and Hospital, Nerchowk, District Mandi HP",Please refer to bid document ,NA ,"5,80,000",Electrical Works,NA ,Tender,120.0,120.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,","Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","11,600",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,AOC
,,,,,2.0,136285.0,SHARMA ELECTRICAL CO.,14-Nov-2019 02:57 PM,Accepted-AOC,work awarded being L1 firm,20-Dec-2019 01:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SCHEDULE F,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM (HVAC) or auth. agency of approved OEM (HVAC) / Firm approved for executing specl job,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,AOC
