Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,17-Sep-2019 06:04 PM,finsummary_44726.pdf (726.17 KB),30-Nov-2019,"INR 1,546,711",90.0,Bhupinder Singh,01-Dec-2019 06:21 PM,Awardletter.PDF (1081.00 KB),Awardletter,PWD,2019_PWD_31073_1,Job 2 Construction of link road from Bhaloh to Bha,"Job 2 Construction of link road from Bhaloh to Bhalola km.0-0 to 1-695 Sub Head C.O embankment, Retaining walls, CD, WMM and bituminous concrete km. 0-585 to 1-140",Er. B.S. Dehlal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant Prem Chand Senior Assistant",Bhupinder Singh,13-Sep-2019 03:35 PM,16-Sep-2019 10:00 AM,techsummary_44726.pdf (851.50 KB),Technical,TechnicalBidOpeningSummary,Bhupinder Singh,13-Sep-2019 03:07 PM,technical_44726.pdf,1.0,129626.0,Ashwani Kumar,03-Sep-2019 01:24 PM,Accepted-AOC,ok,01-Dec-2019 06:21 PM,1.0,129626.0,Ashwani Kumar,INR,"1,216,078",Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,17-Sep-2019 05:48 PM,finance_44726.pdf,BOQ Comparative Chart,AOC,"Job 2 Construction of link road from Bhaloh to Bhalola km.0-0 to 1-695 Sub Head C.O embankment, Retaining walls, CD, WMM and bituminous concrete km. 0-585 to 1-140","Job 2 Construction of link road from Bhaloh to Bhalola km.0-0 to 1-695 Sub Head C.O embankment, Retaining walls, CD, WMM and bituminous concrete km. 0-585 to 1-140",Please refer to Bidding Documents ,NA ,"15,46,711",Civil Works - Roads,NA ,Tender,120.0,90.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,26-Aug-2019 10:00 AM,04-Sep-2019 11:00 AM,26-Aug-2019 10:30 AM,03-Sep-2019 05:00 PM,NA ,NA ,26-Aug-2019 10:30 AM,03-Sep-2019 05:00 PM,16-Sep-2019 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),1.0,FDR - Fixed Deposit,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","31,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,PWD,Job 2 Construction of link road from Bhaloh to Bha,2019_PWD_31073_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,129484.0,Manoj Kumar,31-Aug-2019 10:10 PM,Rejected-AOC,ok,01-Dec-2019 06:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,129462.0,Nitish Thakur,31-Aug-2019 02:56 PM,Rejected-Technical,As per Technical Bid Evaluation Proceeding,13-Sep-2019 03:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,129593.0,Ram,02-Sep-2019 09:43 PM,Rejected-Technical,As per technical Evaluation proceeding,13-Sep-2019 03:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant as per bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him (General Rule No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
