Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. Deepak raj Chauhan,Internal,,Deepak Raj Chauhan,06-Dec-2019 03:09 PM,finsummary_46015.pdf (20.28 KB),06-Dec-2019,"INR 2,932,042",90.0,Deepak Raj Chauhan,06-Dec-2019 03:10 PM,31995-1.pdf (280.00 KB),AOC,PWD,2019_PWD_31995_1,PW.SRDD-CB-CTR-2019-20 9607 DT23.9.19,Construction of link road from Devidhar to Sheedal via Ambri Km. 0/00 to 3/510,Er. A. K. Soni,Internal,Sh. Prem Sharma Supdtt. Sh. Prem Raj Meena DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,05-Nov-2019 01:50 PM,05-Nov-2019 01:55 PM,techsummary_46015.pdf (216.48 KB),Technical,Technical Bid Opening Summary,Deepak Raj Chauhan,15-Oct-2019 02:21 PM,technical_46015.pdf,1.0,134031.0,GIRISH SHARMA,14-Oct-2019 03:07 PM,Rejected-Finance,L-2 BIDDER,06-Dec-2019 03:09 PM,1.0,134066.0,KISHOR KUMAR GOVT CONT,INR,"2,930,042",Finance,Financial Bid Opening Summary,Deepak Raj Chauhan,05-Nov-2019 02:00 PM,finance_46015.pdf,BOQ Comparative Chart,AOC,"51,000",No,fixed,,EE Dhami,Dhami,1.0,DD - Demand Draft,PWD,PW.SRDD-CB-CTR-2019-20 9607 DT23.9.19,2019_PWD_31995_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Construction of link road from Devidhar to Sheedal via Ambri Km. 0/00 to 3/510,"SH Construction of R/Wall in Km. 0/990 to 1/005 , B/Wall in Km. 0/990 to 1/010, Rmoval of slips, C/o wire crate protection wall and providing shotcrate",Please refer Tender documents. ,NA ,"28,57,171",Civil Works - Roads,NA ,Tender,120.0,90.0,DHAMI,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,EE Dhami,Shimla Rural Division HPPWD Dhami,05-Oct-2019 12:00 PM,15-Oct-2019 11:00 AM,05-Oct-2019 12:00 PM,14-Oct-2019 05:00 PM,NA ,NA ,05-Oct-2019 12:00 PM,14-Oct-2019 05:00 PM,05-Nov-2019 01:55 PM,"1,500",EE Dhami,Dhami,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,134066.0,KISHOR KUMAR GOVT CONT,14-Oct-2019 04:34 PM,Accepted-AOC,L-1 bidder,06-Dec-2019 03:10 PM,,,,,,,,,,,,AOC,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,134030.0,KULDEEP KUMAR VERMA,14-Oct-2019 02:29 PM,Rejected-Finance,L-3 BIDDER,06-Dec-2019 03:09 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
