EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"91,386",Yes,fixed,,"IPH Division, Palampur","Executive Engineer, IPH Division, Palampur",1.0,Bid Opening date change,Date,,04-Jul-2019 06:55 PM,23-Jul-2019 11:30 AM,04-Jul-2019 06:55 PM,23-Jul-2019 11:00 AM,NA ,NA ,04-Jul-2019 06:55 PM,23-Jul-2019 11:00 AM,29-Aug-2019 03:35 PM,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Palampur,Irrigation and Public Health,HP",3671-3700,2019_HPIPH_29902_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,800.0,"IPH Division, Palampur","Executive Engineer, IPH Division, Palampur",No,1.0,Fee/PreQual/Technical,.pdf,i) Scan copy of deduction of Earnest money and cost of tender.,"Executive Engineer,",IPH Division Palampur,1.0,ICICI BANK,"Construction of lift irrigation scheme Hartara Chobu, Har Sakri, Bahi in Tehsil Baijnath District Kangra HP","SH Supply and errection of pumping machinery alongwith allied accessories for stage 1st and 2nd and laying, jointing _ testing of rising main 200 and 250 milimetre dia MSERW pipe",Please refer Tender documents. ,NA ,"58,88,611",Civil Works,NA ,Tender,120.0,190.0,Palampur,176061.0,NA ,NA ,NA ,"IPH Division, Palampur",No ,No,AOC,1,124409,dinesh kumar lath,19-Jul-2019 09:31 AM,Rejected-AOC,Higher rate quoted,24-Dec-2019 03:36 PM,Er. Sanjay Thakur,Internal,Sh. Andesh Kumar (JOA) Tender Asstt. 2 Smt. Indra Devi Supdt. 3 Rattan Chand D.A.O 4 Narender Thakur,Sanjay Kumar,29-Aug-2019 03:33 PM,29-Aug-2019 03:35 PM,techsummary_43190.pdf (341.17 KB),18-Dec-2019,"INR 6,611,352.8",190.0,Sanjay Kumar,24-Dec-2019 03:36 PM,PMHartra.pdf (463.00 KB),Awarded to Sh. Raj Kumar,Technical,Six bidder successfully verify and four bidder not fulfil the criteria as per NIT.,Sanjay Kumar,29-Aug-2019 03:25 PM,technical_43190.pdf,Finance,BOQ and comparative statement download successfully.,Sanjay Kumar,02-Nov-2019 05:15 PM,finance_43190.pdf,BOQ Comparative Chart,Er. Sanjay Thakur,Internal,Sh. Andesh Kumar (JOA) Tender Asstt. 2 Smt. Indra Devi Supdt. 3 Rattan Chand D.A.O 4 Narender Thakur,Sanjay Kumar,02-Nov-2019 05:19 PM,finsummary_43190.pdf (72.21 KB),1.0,124731.0,Raj Choudhary,INR,"6,207,353","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Palampur,Irrigation and Public Health,HP",2019_HPIPH_29902_1,3671-3700,"Construction of lift irrigation scheme Hartara Chobu, Har Sakri, Bahi in Tehsil Baijnath District Kangra HP",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ii) Certificate of registration with IPH Department in appropriate class and latest renewal thereof.,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,2,125150,GALAXY ASSOCIATE,22-Jul-2019 07:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Aug-2019 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,iii) Income tax/GST / EPF registration and latest clearance certificate thereof.,,,,,,,,,,,,,,,,,,,,,,,AOC,3,124606,Naik Electrical Works,22-Jul-2019 09:51 AM,Rejected-AOC,Higher rate quoted,24-Dec-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor must have experience of executing work of similar nature and comparable amount,,,,,,,,,,,,,,,,,,,,,,,AOC,4,124493,Pawan Virmani,18-Jul-2019 05:51 PM,Rejected-AOC,Higher rate quoted,24-Dec-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,vi) Affidavit that he have not two uncompleted work in hand.,,,,,,,,,,,,,,,,,,,,,,,AOC,5,124731,Raj Choudhary,17-Jul-2019 03:49 PM,Accepted-AOC,Lowest one,24-Dec-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form 6 duly signed,,,,,,,,,,,,,,,,,,,,,,,AOC,6,125609,Ravinder Kumar Sahore,23-Jul-2019 10:57 AM,Rejected-AOC,Higher rate quoted,24-Dec-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,7,124770,sadeep kumar,19-Jul-2019 09:01 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Aug-2019 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,124955,SANJAY SAINI,18-Jul-2019 06:36 AM,Rejected-AOC,Higher rate quoted,24-Dec-2019 03:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,125173,Shadil Thakur,19-Jul-2019 10:18 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Aug-2019 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,125037,Shashank Jagota Govt. Contractor,18-Jul-2019 05:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Aug-2019 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
