Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Tender Stage
Technical,SUMMARY,Kishan Lal Chaudhary,14-Nov-2019 05:01 PM,technical_45533.pdf,1.0,132759.0,Baldev Singh,29-Sep-2019 07:49 PM,Rejected-AOC,L4,26-Dec-2019 12:26 PM,Finance,SUMMARY,Kishan Lal Chaudhary,03-Dec-2019 04:08 PM,finance_45533.pdf,BOQ Comparative Chart,1.0,132555.0,Pawan Kumar,INR,"802,875",Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Balbir singh Sr. Asstt.. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,26-Dec-2019 12:22 PM,finsummary_45533.pdf (187.98 KB),26-Dec-2019,"INR 598,230",90.0,Kishan Lal Chaudhary,26-Dec-2019 12:26 PM,AOC.pdf (518.00 KB),WORK AWARDED TO SH. PAWAN KUMAR,PWD,2019_PWD_31648_1,C/O KHERI MARYOG ROAD,"Construction of Kheri Maryog Road km 2/0 to 5/0 (SH P/L Kharanja Stone Soling , G-II G-III in km 2/0 to 3/250 ) under MMGPY",Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Balbir Singh Sr. Asstt. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,16-Nov-2019 12:56 PM,16-Nov-2019 03:00 PM,techsummary_45533.pdf (813.60 KB),AOC,350.0,EE RAJAGRH,RAJAGRH,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,PWD,C/O KHERI MARYOG ROAD,2019_PWD_31648_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"12,000",No,fixed,,EE RAJGARH,RAJGARH,20-Sep-2019 03:30 PM,30-Sep-2019 11:30 AM,20-Sep-2019 03:30 PM,30-Sep-2019 11:00 AM,NA ,NA ,20-Sep-2019 03:30 PM,30-Sep-2019 11:00 AM,16-Nov-2019 03:00 PM,"Construction of Kheri Maryog Road km 2/0 to 5/0 (SH P/L Kharanja Stone Soling , G-II G-III in km 2/0 to 3/250 ) under MMGPY","Construction of Kheri Maryog Road km 2/0 to 5/0 (SH P/L Kharanja Stone Soling , G-II G-III in km 2/0 to 3/250 ) under MMGPY",Please refer Tender documents. ,NA ,"5,98,230",Civil Works - Roads,NA ,Tender,90.0,90.0,RAJAGRH DIVISION HPPWD RAJAGRH,173101.0,NA ,NA ,NA ,RAJAGRH DIVISION HPPWD RAJAGRH,No ,No,1.0,DD - Demand Draft,EXECUTIVE ENGINEER,RAJAGRH DIVISION HPPWD RAJAGRH,AOC
,,,,,2.0,132733.0,Paramjeet kaur Govt. Contractor,29-Sep-2019 01:18 PM,Rejected-AOC,L2,26-Dec-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,3.0,132555.0,Pawan Kumar,27-Sep-2019 11:47 AM,Accepted-AOC,L1,26-Dec-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,132737.0,Rajender Kumar,29-Sep-2019 04:20 PM,Rejected-AOC,L3,26-Dec-2019 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,132667.0,SAHDEV SINGH,28-Sep-2019 01:03 PM,Rejected-Technical,Not Fulfill the qualifying the criteria,16-Nov-2019 12:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
