Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Balbir singh Sr. Asstt.. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,24-Dec-2019 01:15 PM,finsummary_44076.pdf (262.37 KB),24-Dec-2019,"INR 1,692,993",90.0,Kishan Lal Chaudhary,24-Dec-2019 01:18 PM,AOC.pdf (561.00 KB),WORK AWARDED TO SH. PANKAJ,PWD,2019_PWD_30598_1,SIRMOURI MANDIR BAGTHAN ROAD,C/O Sirmouri Mandir Bagthan road Km. 0/0 to 10/375 (SH P/L Soling G-II km 6/0 to 8/0 AND G-III in Km 4/0 to 6/0AND M/T in Km 0/0 to 1/0) Under SCSP,Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Supdt. G-II, Smt. Asha Kamal HDM, Sh. Balbir Singh Sr. Asstt. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,20-Aug-2019 04:54 PM,20-Aug-2019 04:55 PM,techsummary_44076.pdf (313.37 KB),1.0,127524.0,Pankaj,INR,"2,405,535",Finance,SUMMARY,Kishan Lal Chaudhary,29-Aug-2019 03:09 PM,finance_44076.pdf,BOQ Comparative Chart,Technical,SUMMARY,Kishan Lal Chaudhary,19-Aug-2019 01:45 PM,technical_44076.pdf,1.0,127431.0,Arun Kumar Tomar,12-Aug-2019 08:03 AM,Rejected-AOC,L4,24-Dec-2019 01:18 PM,AOC,01-Aug-2019 09:00 AM,13-Aug-2019 11:00 AM,01-Aug-2019 09:00 AM,12-Aug-2019 05:00 PM,NA ,NA ,01-Aug-2019 09:00 AM,12-Aug-2019 05:00 PM,20-Aug-2019 04:55 PM,"33,000",No,fixed,,EE RAJGARH,RAJGARH,1.0,DD - Demand Draft,500.0,EE RAJGARH,RAJGARH,No,1.0,Fee/PreQual/Technical,.pdf,Any other information bidders like to provide.,PWD,SIRMOURI MANDIR BAGTHAN ROAD,2019_PWD_30598_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O Sirmouri Mandir Bagthan road Km. 0/0 to 10/375 (SH P/L Soling G-II km 6/0 to 8/0 AND G-III in Km 4/0 to 6/0AND M/T in Km 0/0 to 1/0) Under SCSP,C/O Sirmouri Mandir Bagthan road Km. 0/0 to 10/375 (SH P/L Soling G-II km 6/0 to 8/0 AND G-III in Km 4/0 to 6/0AND M/T in Km 0/0 to 1/0) Under SCSP,Please refer Tender documents. ,NA ,"16,92,933",Civil Works - Roads,NA ,Tender,90.0,90.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127220.0,Jagmohan Singh,08-Aug-2019 10:37 PM,Rejected-AOC,L3,24-Dec-2019 01:18 PM,AOC,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,127524.0,Pankaj,12-Aug-2019 04:40 PM,Accepted-AOC,L1,24-Dec-2019 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,127487.0,sukhpal,12-Aug-2019 03:48 PM,Rejected-AOC,L2,24-Dec-2019 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
