S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,120918.0,Golden Associates,INR,"2,462,500","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2019_HPIPH_28740_1,IPH-DN-CB-TA-Tender/2019-20- 518-578 dt 18-4-19,Providing LWSS to Nahan Town From Giri river at Dadahu in Tehsil Nahan,Er. Jogider Singh SE,Internal,EED EENahan CHD Supdt II AED,Mandeep Gupta,03-Dec-2019 12:44 PM,finsummary_41562.pdf (1340.21 KB),Finance,Financial Bid Opening Summary,Mandeep Gupta,10-May-2019 03:10 PM,finance_41562.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,10-May-2019 02:52 PM,technical_41562.pdf,03-Dec-2019,"INR 1,446,750",365.0,Mandeep Gupta,03-Dec-2019 12:48 PM,AOC.pdf (1340.00 KB),AOC,Dr. Mandeep Gupta EE,Internal,Supdt HDM DAO TA,Mandeep Gupta,10-May-2019 02:57 PM,10-May-2019 03:00 PM,techsummary_41562.pdf (103.01 KB),1.0,120918.0,Golden Associates,09-May-2019 08:16 PM,Accepted-AOC,AOC,03-Dec-2019 12:48 PM,AOC,20-Apr-2019 04:00 PM,10-May-2019 11:30 AM,20-Apr-2019 04:00 PM,10-May-2019 11:00 AM,NA ,NA ,20-Apr-2019 04:00 PM,10-May-2019 11:00 AM,10-May-2019 03:00 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN-CB-TA-Tender/2019-20- 518-578 dt 18-4-19,2019_HPIPH_28740_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"29,000",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Providing LWSS to Nahan Town From Giri river at Dadahu in Tehsil Nahan,"Providing, fixing, testing, commissioning of gaseous type vacuum chlorination system with two years at main storage reservoir Nahan (5 MLD) capacity) complete in all respects",Please refer Tender documents. ,NA ,"14,46,750",Civil Works,NA ,Tender,120.0,365.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,ICICI BANK,1.0,Office Order,Other,,400.0,Executive Engineer IPH Division Nahan,Nahan,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,120966.0,Krishna Equipments and Const Technology,09-May-2019 10:17 PM,Rejected-Finance,Rejected,03-Dec-2019 12:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Forn as mentioned in NIT,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,REgistration in HPIPH Deptt as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REgistration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking carefuly study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the Provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
