Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
MD APDCL,Internal,,Kushal Kumar Das,18-Nov-2019 02:07 PM,finsummary_13496.pdf (591.61 KB),1.0,43318.0,North East Agency,INR,142448775.0,Technical,Techno Commercial Evaluation,Md. Anamul Laskar,05-Nov-2018 06:49 PM,technical_13496.pdf,18-Nov-2019,INR 142448775,75.0,Kushal Kumar Das,18-Nov-2019 02:21 PM,North_East_Lot-VI.PDF (3220.00 KB),Finance,Comparative Statement Evaluation,Kushal Kumar Das,15-Nov-2019 04:15 PM,finance_13496.pdf,BOQ Comparative Chart,"MD, APDCL",Internal,,Md. Anamul Laskar,05-Nov-2018 06:53 PM,08-Nov-2018 12:00 PM,techsummary_13496.pdf (1602.32 KB),1,43238,Aditi Solar Private Limited,15-Oct-2018 12:27 PM,Rejected-AOC,L3,18-Nov-2019 02:21 PM,Assam Power Distribution Company Ltd||CGM(Rural Electrification) - APDCL,2018_APDCL_8928_1,APDCL/CGM_RE/NRE 131/2018_19 /10/DHE_LAKHI_SON,Standalone Solar PV System under SAUBHAGYA,AOC,Standalone Solar PV System under SAUBHAGYA,Off-grid household electrification works in remote villages of Assam through Standalone Solar PV System under SAUBHAGYA,Please refer Tender documents. ,NA ,0.0,Electrical Works,NA ,Tender,90.0,75.0,"Dhemaji, Lakhimpur, Sonitpur",784001.0,NA ,NA ,NA ,"Bijuli Bhawan, Paltan Bazar, Ghy 1",No ,No,Assam Power Distribution Company Ltd||CGM(Rural Electrification) - APDCL,APDCL/CGM_RE/NRE 131/2018_19 /10/DHE_LAKHI_SON,2018_APDCL_8928_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,10-Oct-2018 02:00 PM,23-Oct-2018 01:00 PM,10-Oct-2018 02:00 PM,22-Oct-2018 02:00 PM,NA ,NA ,10-Oct-2018 02:00 PM,22-Oct-2018 02:00 PM,08-Nov-2018 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,TENDER FEE,"10,000",CGM RE APDCL,Guwahati,Yes,"Chief General Manager (RE), APDCL","Bijuli Bhawan, Paltan Bazar, Ghy 1","15,00,000",Yes,fixed,,CGM RE APDCL,Guwahati,1.0,DD - Demand Draft,1.0,Extension Notice,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43499,Arunachal Pradesh Power Corporation Private Limited,20-Oct-2018 05:06 PM,Rejected-Technical,Technically Non Responsive,05-Nov-2018 06:53 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID SECURITY/EMD,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,43329,CYGNI ENERGY PRIVATE LIMITED,21-Oct-2018 06:11 PM,Rejected-Technical,Technically Non Responsive,05-Nov-2018 06:53 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,TENDER DOCUMENTS,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,43338,Madnani Engineerings Works,20-Oct-2018 07:40 PM,Rejected-AOC,L2,18-Nov-2019 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,43426,Millenium Synergy Pvt Ltd,20-Oct-2018 05:39 PM,Rejected-Technical,Technically Non Responsive,05-Nov-2018 06:53 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,43459,Natsakee Incorporation,22-Oct-2018 12:11 PM,Rejected-Technical,Technically Non Responsive,05-Nov-2018 06:53 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,43318,North East Agency,13-Oct-2018 06:29 PM,Accepted-AOC,L1,18-Nov-2019 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,43565,N P AGRO INDUSTRIES LTD,22-Oct-2018 12:32 PM,Rejected-AOC,L4,18-Nov-2019 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,43564,Purbanchal Enterprise,21-Oct-2018 03:21 PM,Rejected-AOC,L5,18-Nov-2019 02:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,43484,PV POWER TECHNOLOGIES PVT LTD,20-Oct-2018 07:06 PM,Rejected-Technical,Technically Non Responsive,05-Nov-2018 06:53 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
