Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Furnishing of Circuit House at Willys Park Shimla 4. (SH- Providing and fixing Curtains.),Furnishing of Circuit House at Willys Park Shimla 4. (SH- Providing and fixing Curtains.),As per bidding Documents ,NA ,"29,05,653",Civil Works,NA ,Tender,120.0,60.0,Willys Park Chaura Maidan Shimla,171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"51,100",Yes,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,PWD,SD-III-CB-Tender/2019-20-18228 dated 08-11-2019,2019_PWD_32838_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,25-Nov-2019 05:00 PM,10-Dec-2019 11:00 AM,25-Nov-2019 05:00 PM,09-Dec-2019 05:00 PM,NA ,NA ,25-Nov-2019 05:00 PM,09-Dec-2019 05:00 PM,10-Dec-2019 12:20 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3),"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",AOC,ER.A.K.SONI,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Ajay Kumar Soni,10-Dec-2019 12:16 PM,10-Dec-2019 12:20 PM,techsummary_47343.pdf (304.41 KB),PWD,2019_PWD_32838_1,SD-III-CB-Tender/2019-20-18228 dated 08-11-2019,Furnishing of Circuit House at Willys Park Shimla 4. (SH- Providing and fixing Curtains.),10-Dec-2019,"INR 2,905,653",15.0,Ajay Kumar Soni,11-Dec-2019 12:09 PM,32838-1.pdf (373.00 KB),AOC,ER.A.K.SONI,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Ajay Kumar Soni,10-Dec-2019 12:50 PM,finsummary_47343.pdf (202.60 KB),1.0,139444.0,sanjeev kumar khanna,INR,"1,450,654",Finance,Bid opening summary,Ajay Kumar Soni,10-Dec-2019 12:49 PM,finance_47343.pdf,BOQ Comparative Chart,1.0,139276.0,Gian Chand,09-Dec-2019 01:26 PM,Rejected-Technical,OK,10-Dec-2019 12:16 PM,Technical,Bid opening summary,Ajay Kumar Soni,10-Dec-2019 12:14 PM,technical_47343.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money as per schedule F (6.5),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,138877.0,PREET FURNISHERS,05-Dec-2019 08:46 PM,Rejected-AOC,L2,11-Dec-2019 12:09 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,138796.0,RAJU THAKUR,05-Dec-2019 02:04 PM,Rejected-Technical,OK,10-Dec-2019 12:16 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,139263.0,Ramesh Chand Verma,09-Dec-2019 04:29 PM,Rejected-Technical,OK,10-Dec-2019 12:16 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration as per General Rule No 21 (in H.P.) Copy of Tin No.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,139444.0,sanjeev kumar khanna,09-Dec-2019 02:28 PM,Accepted-AOC,L1,11-Dec-2019 12:09 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
