Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Sh. Nigmanand Sharma,Internal,1. Suresh Dhiman 2. Sharvan Kumar RFO 3. Parveen Sharma,SUBHASH PRASHAR,15-Nov-2019 07:27 PM,16-Nov-2019 11:00 AM,techsummary_46658.pdf (638.34 KB),1.0,136331.0,Rajat Sharma,INR,"1,395,875",Himachal Pradesh Forest Department||Mandi - HPFD||Suket Division - HPFD,2019_FD_32433_1,7440B,C/o Steel Foot Bridge,Sh. Subhash Chand Prashar,Internal,"Sh. Sharvan Kumar, Nigmanand Sharma, Parveen Sharma, Suresh Dhiman",SUBHASH PRASHAR,10-Dec-2019 02:57 PM,finsummary_46658.pdf (589.19 KB),1,136341,Acute Engineers and Contractor OPC Pvt Ltd.,14-Nov-2019 11:27 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:57 PM,Technical,Technical Evaluation,SUBHASH PRASHAR,15-Nov-2019 06:57 PM,technical_46658.pdf,Finance,Nine bids have been received and found in order,SUBHASH PRASHAR,28-Nov-2019 12:38 PM,finance_46658.pdf,BOQ Comparative Chart,10-Dec-2019,"INR 1,398,453.95",90.0,SUBHASH PRASHAR,10-Dec-2019 03:40 PM,Rajataward.pdf (181.00 KB),Contract is awared,AOC,"30,000",No,fixed,,DFO Suket,SBI Chatrokhari Sunder Nagar,C/o Steel Foot Bridge,C/o Steel Foot Bridge over Kansa Khud,Please refer Tender documents. ,NA ,"13,34,525",Civil Works - Bridges,NA ,Tender,90.0,90.0,Village Siyosi in Jai Devi Forest Range,175018.0,NA ,NA ,NA ,o/o DFO Suket Sundernagar,No ,No,500.0,DFO Suket,SBI Chatrokhari Sunder Nagar,No,04-Nov-2019 10:00 AM,15-Nov-2019 02:00 PM,04-Nov-2019 11:00 AM,15-Nov-2019 11:00 AM,04-Nov-2019 12:00 PM ,05-Nov-2019 12:00 PM ,05-Nov-2019 01:00 PM,15-Nov-2019 11:00 AM,16-Nov-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,DFO Suket,"Divisional Forest Officer, Suket Forest Division, Sundernagar",1.0,DD - Demand Draft,Himachal Pradesh Forest Department||Mandi - HPFD||Suket Division - HPFD,7440B,2019_FD_32433_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,136309,ANIL KAUNDAL,14-Nov-2019 05:03 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,136289,Ghanshyam Thakur,14-Nov-2019 03:48 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,136337,KUSHAL SINGH RAGHAV,14-Nov-2019 09:31 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21 and PAN,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,136326,Mohan Singh Steel Furniture IUndustri,14-Nov-2019 07:43 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,136314,Mr. Sohan Lal,14-Nov-2019 06:06 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,136270,prakul sharma contractor,14-Nov-2019 01:19 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Nov-2019 06:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,135940,PRATAP SINGH,11-Nov-2019 01:23 PM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,136347,Prem Sing,15-Nov-2019 09:13 AM,Rejected-Finance,Higher Amount Quoted,10-Dec-2019 02:57 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,136331,Rajat Sharma,14-Nov-2019 08:27 PM,Accepted-AOC,Negotiated Amount,10-Dec-2019 03:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
