Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,06-Dec-2019 10:30 AM,finsummary_47065.pdf (163.30 KB),07-Dec-2019,"INR 739,511",60.0,Pramod Kashyap,07-Dec-2019 05:20 PM,award.pdf (496.00 KB),C/O Link road from Dhaneta Panyali vill. Dahdoon Janjghar Partap Singh house and Parkesh Chand house km 0/0 to 0/750,PWD,2019_PWD_32655_1,C/O Link road from Dhaneta Panyali,/O Link road from Dhaneta Panyali vill. Dahdoon Janjghar Partap Singh house and Parkesh Chand house km 0/0 to 0/750,Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,04-Dec-2019 12:15 PM,05-Dec-2019 10:30 AM,techsummary_47065.pdf (546.32 KB),Technical,tech bid opening summary,Pramod Kashyap,27-Nov-2019 01:07 PM,technical_47065.pdf,1.0,137722.0,AJAY SINGH GOVT CONT,27-Nov-2019 10:12 AM,Rejected-Finance,L 3,06-Dec-2019 10:30 AM,Finance,fin bid,Pramod Kashyap,06-Dec-2019 10:26 AM,finance_47065.pdf,BOQ Comparative Chart,1.0,137643.0,Parmjeet Sharma,INR,"896,077",AOC,1.0,DD - Demand Draft,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,15-Nov-2019 04:30 PM,27-Nov-2019 11:00 AM,15-Nov-2019 04:30 PM,27-Nov-2019 10:30 AM,NA ,NA ,15-Nov-2019 04:30 PM,27-Nov-2019 10:30 AM,05-Dec-2019 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"14,800",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,PWD,C/O Link road from Dhaneta Panyali,2019_PWD_32655_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,/O Link road from Dhaneta Panyali vill. Dahdoon Janjghar Partap Singh house and Parkesh Chand house km 0/0 to 0/750,Providing and Laying soling and M/T in Km 0/015 to 0/550 and Providing and Laying cement concrete pavement at RD 0/0 0/015) Under OTMNP Head,Please refer Tender documents. ,NA ,"7,39,511",Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,350.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,137701.0,ANKUSH SHARMA GOVT CONTRACTOR,26-Nov-2019 08:57 PM,Rejected-Finance,L 2,06-Dec-2019 10:30 AM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,137735.0,dinesh kumar,27-Nov-2019 09:57 AM,Rejected-Technical,Non Responsive,04-Dec-2019 12:15 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,137643.0,Parmjeet Sharma,26-Nov-2019 04:54 PM,Accepted-AOC,L 1,07-Dec-2019 05:20 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
