Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
C/O Mandiyani Branjar road km 0/0 to 4/00,"C/O 900mm dia RCC Hume pipe culvert with wing wall at RD 1/150, 1/215, 1/260,1/345/1/410, 1/480 and C/o 4.00 mtrs span RCC slab type culvert at RD 1/250) Under OTMNP Head",Please refer Tender documents. ,NA ,"17,25,600",Civil Works - Roads,NA ,Tender,120.0,120.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,PWD,C/O Mandiyani Branjar road,2019_PWD_32652_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,15-Nov-2019 04:30 PM,27-Nov-2019 11:00 AM,15-Nov-2019 04:30 PM,27-Nov-2019 10:30 AM,NA ,NA ,15-Nov-2019 04:30 PM,27-Nov-2019 10:30 AM,05-Dec-2019 10:30 AM,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,1.0,DD - Demand Draft,"33,400",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,AOC,Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,04-Dec-2019 12:43 PM,05-Dec-2019 10:30 AM,techsummary_47063.pdf (495.42 KB),PWD,2019_PWD_32652_1,C/O Mandiyani Branjar road,C/O Mandiyani Branjar road km 0/0 to 4/00,21-Dec-2019,"INR 1,725,600",120.0,Pramod Kashyap,21-Dec-2019 04:17 PM,branjaraward.pdf (714.00 KB),C/O Mandiyani Branjar road km 0/0 to 4/00,Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,06-Dec-2019 10:21 AM,finsummary_47063.pdf (157.63 KB),Finance,fin bid,Pramod Kashyap,06-Dec-2019 10:18 AM,finance_47063.pdf,BOQ Comparative Chart,1.0,137714.0,Parvesh Sharma,INR,"1,921,255",1.0,137725.0,AJAY SINGH GOVT CONT,27-Nov-2019 07:49 AM,Rejected-Technical,Non Responsive,04-Dec-2019 12:43 PM,Technical,tech bid opening summary,Pramod Kashyap,27-Nov-2019 12:40 PM,technical_47063.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,EMD,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,137698.0,AJAY VERMA,26-Nov-2019 09:37 PM,Rejected-Finance,L3,06-Dec-2019 10:21 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,137729.0,dinesh kumar,27-Nov-2019 09:29 AM,Rejected-Finance,"L, 2",06-Dec-2019 10:21 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,137714.0,Parvesh Sharma,27-Nov-2019 02:01 AM,Accepted-AOC,L 1,21-Dec-2019 04:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
