Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Tech Minutes,Amit Singha,01-Jun-2019 01:16 PM,technical_18085.pdf,"Chief Engineer (MI),Irrigation,Assam",Internal,"Director Design(I), Assam, Director Design (MI), Assam",Amit Singha,07-Nov-2019 12:09 PM,finsummary_18085.pdf (137.47 KB),Irrigation Department||Chief Engineer(Major)-Irrigation Dept,2019_ID_11397_1,"NIT NO. 04(RIDF-XXIV, NABARD) 2018-19 Dt 24.01.19",Silbari Flow I_Scheme under RIDF_XXIV_NABARD Grp IX,07-Nov-2019,INR 2.55E+7,365.0,Amit Singha,07-Nov-2019 12:12 PM,AOC.PDF (141.00 KB),AOC,"Chief Engineer(MI),Irrigation,Assam",Internal,"Director Design (Irrigation),Assam Director Design (Minor Irrigation),Assam",Amit Singha,01-Jun-2019 01:22 PM,03-Jun-2019 12:00 PM,techsummary_18085.pdf (331.75 KB),1.0,55578.0,M/S Kusumbar Construction,INR,22835600.0,Finance,Financial Evaluation,Amit Singha,07-Nov-2019 11:43 AM,finance_18085.pdf,BOQ Comparative Chart,1,54815,ASHOK KUMAR BAJAJ,09-Feb-2019 06:29 PM,Rejected-AOC,Not Awarded,07-Nov-2019 12:12 PM,AOC,25-Jan-2019 12:25 PM,20-Feb-2019 03:00 PM,25-Jan-2019 12:25 PM,20-Feb-2019 02:00 PM,NA ,NA ,25-Jan-2019 12:30 PM,20-Feb-2019 02:00 PM,03-Jun-2019 12:00 PM,"5,10,000",Yes,percentage,2.0%,"O/O Chief Engineer, Minor Irrigation, Assam, ghy 3",Guwahati,"Chief Engineer, Minor Irrigation, Assam, ghy 3","O/O Chief Engineer, Minor Irrigation, Assam, ghy 3","2,000","O/O Chief Engineer, Minor Irrigation, Assam, ghy 3",Guwahati,No,1.0,DD - Demand Draft,1.0,Extension Corrigendum RIDF XXIV Group IX,Date,,1.0,Fee/PreQual/Technical,.pdf,NIT,Silbari Flow I_Scheme under RIDF_XXIV_NABARD Grp IX,Silbari Flow I_Scheme under RIDF_XXIV_NABARD Grp IX,Please refer Tender documents. ,NA ,"2,55,00,000",Civil Works,NA ,Tender,180.0,365.0,Tangla,784521.0,NA ,NA ,NA ,"O/O Chief Engineer, Minor Irrigation, Assam, ghy 3",No ,No,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,"NIT NO. 04(RIDF-XXIV, NABARD) 2018-19 Dt 24.01.19",2019_ID_11397_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54818,Fwilao Basumatary,09-Feb-2019 07:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2019 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,.pdf,Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55932,GAJENDRA CHANDRA BORO,19-Feb-2019 11:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2019 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,54586,HARESWAR BORO,07-Feb-2019 05:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2019 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,55740,KISHAN KUMAR HARLALKA,18-Feb-2019 12:06 PM,Rejected-AOC,Not Awarded,07-Nov-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,55701,M/S AGH CONSTRUCTIONS,18-Feb-2019 11:33 AM,Rejected-AOC,Not Awarded,07-Nov-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55392,M/s. KC Infra Project Private Limited,15-Feb-2019 01:48 PM,Rejected-AOC,Not Awarded,07-Nov-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,55578,M/S Kusumbar Construction,17-Feb-2019 09:55 PM,Accepted-AOC,Awarded,07-Nov-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,55328,PARIMAL DEB NATH,14-Feb-2019 11:30 PM,Rejected-AOC,Not Awarded,07-Nov-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,54418,Sri Bhaba Dev Mahanta,18-Feb-2019 01:17 PM,Rejected-AOC,Not Awarded,07-Nov-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
