Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,Pw/MED/ TA /NIT/e-notice/18-19-3980-85 dt 25.08.18,2018_PWD_23389_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",Construction of Cluster University Building MLSM college at Sunder Nagar Distt Mandi HP SH Providing Electrical Installation therein,Construction of Cluster University Building MLSM college at Sunder Nagar Distt Mandi HP SH Providing Electrical Installation therein,Please refer to bid document  ,NA ,"34,32,792",Electrical Works,NA ,Tender,120.0,365.0,Sunder Nagar,175018.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,10-Sep-2018 10:00 AM,20-Sep-2018 11:30 AM,10-Sep-2018 10:00 AM,20-Sep-2018 10:00 AM,NA ,NA ,10-Sep-2018 10:00 AM,20-Sep-2018 10:00 AM,06-Oct-2018 03:00 PM,"59,000",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,"1,500",Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,1.0,DD - Demand Draft,AOC,1.0,95202.0,DHARMENDER SINGH,19-Sep-2018 08:34 PM,Rejected-AOC,rejected being L2 contractor,20-Dec-2019 01:22 PM,Technical,technical bid summary,Dalip singh Patial,06-Oct-2018 12:32 PM,technical_32723.pdf,1.0,95073.0,Rohtash Verma,INR,"4,147,120",Finance,financial bid summary,Dalip singh Patial,08-Oct-2018 03:11 PM,finance_32723.pdf,BOQ Comparative Chart,Er Sanjay Kumar SE,Internal,Er B S Gora EE Er D S Patial EE Er Pradeep Sharma EO Sh Jeet Ram Supdt,Dalip singh Patial,06-Oct-2018 01:15 PM,06-Oct-2018 03:00 PM,techsummary_32723.pdf (1157.99 KB),PWD,2018_PWD_23389_1,Pw/MED/ TA /NIT/e-notice/18-19-3980-85 dt 25.08.18,Construction of Cluster University Building MLSM college at Sunder Nagar Distt Mandi HP SH Providing Electrical Installation therein,13-Dec-2019,"INR 4,147,120",365.0,Dalip singh Patial,20-Dec-2019 01:22 PM,AOC.pdf (635.00 KB),work awarded to Sh. Rohtash Verma being L1 contractor,Er Dalip singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Amar Singh Draughtsman Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,08-Oct-2018 04:24 PM,finsummary_32723.pdf (471.13 KB),AOC
,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,2.0,95123.0,Ratwn Light House,19-Sep-2018 09:32 PM,Rejected-Technical,bid not qualified,06-Oct-2018 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in appropriate Class A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,95073.0,Rohtash Verma,19-Sep-2018 11:13 PM,Accepted-AOC,work awarded to L1 contractor Sh Rohtash verma,20-Dec-2019 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Valid Electrical license REFER GENERAL RULES NO 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,95021.0,TARUN GUPTA,19-Sep-2018 06:29 PM,Rejected-Technical,bid not qualified,06-Oct-2018 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,PERMANENT ACCOUNT NUMBER (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
