Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Construction of 40.80 mtr span steel truss foot bridge over Awa Khad between Karori and Rajot,Construction of 40.80 mtr span steel truss foot bridge,Please refer Tender documents. ,NA ,"43,49,175",Civil Works - Bridges,NA ,Tender,120.0,270.0,Rajot,176125.0,NA ,NA ,NA ,HPPWD Division Baijanth,No ,No,EE HPPWD Baijanth Division,EE HPPWD Baijanth Division,PWD,PWD-BD-NIT-2018-19-21241-95,2019_PWD_27908_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,28-Feb-2019 10:00 AM,14-Mar-2019 11:00 AM,28-Feb-2019 10:00 AM,14-Mar-2019 10:30 AM,NA ,NA ,28-Feb-2019 02:00 PM,14-Mar-2019 10:30 AM,22-Apr-2019 11:00 AM,"72,740",No,fixed,,EE Baijnath,Baijnath,"2,000",EE Baijanth,Baijnath,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,AOC,Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,18-Apr-2019 01:35 PM,22-Apr-2019 11:00 AM,techsummary_39863.pdf (808.02 KB),PWD,2019_PWD_27908_1,PWD-BD-NIT-2018-19-21241-95,Construction of 40.80 mtr span steel truss foot bridge over Awa Khad between Karori and Rajot,26-Dec-2019,"INR 4,349,175",270.0,Sanjiv Kumar,26-Dec-2019 03:52 PM,awardrajot.pdf (215.00 KB),Er S K Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,22-Apr-2019 01:30 PM,finsummary_39863.pdf (169.23 KB),Finance,Financial Bid of said work open on 22.4.2019 successfully,Sanjiv Kumar,22-Apr-2019 01:29 PM,finance_39863.pdf,BOQ Comparative Chart,1.0,118395.0,GALAXY ASSOCIATE,INR,"5,984,185",1.0,118430.0,Amit Choudhary,13-Mar-2019 05:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Apr-2019 01:34 PM,Technical,6 Bidders participated in this work and 2 bidders found responsive hence tender recommended by committee to open the financial bid,Sanjiv Kumar,18-Apr-2019 01:34 PM,technical_39863.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118462.0,Cantilever Constructions Pvt Ltd.,14-Mar-2019 09:30 AM,Rejected-Finance,Higher Side Bidder,22-Apr-2019 01:30 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,118465.0,Chander kant,14-Mar-2019 10:08 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Apr-2019 01:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,118395.0,GALAXY ASSOCIATE,13-Mar-2019 03:56 PM,Accepted-AOC,Lower Side,26-Dec-2019 03:52 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,118410.0,TANUJ SHARMA,13-Mar-2019 04:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Apr-2019 01:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,118310.0,Tushar Soni,14-Mar-2019 09:16 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Apr-2019 01:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per mentioned in the SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
