Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Er. Sanjiv Mahajan,Internal,Er. Rishi Kumar A.E. Nift Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Pathania Supdt. (On Leave) Sh. Ajay Mahajan HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Sanjiv Mahajan,09-Dec-2019 03:22 PM,finsummary_41479.pdf (53.95 KB),09-Dec-2019,"INR 5,815,475",365.0,Sanjiv Mahajan,09-Dec-2019 03:24 PM,Award.pdf (264.00 KB),Award,PWD,2019_PWD_28733_2,167-216 dated 11-04-2019,C/O link road Dundni Bag to Ghatta G.P. Dhamer form km. 0/000 to 1/505 under NABARD RIDF-XXIV in Distt. Kangra (HP),Er. Sanjiv Mahajan,Internal,Er. Rishi Kumar A.E. Nift Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Pathania Supdt. (On Leave) Sh. Ajay Mahajan HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,11-Jun-2019 02:34 PM,11-Jun-2019 02:35 PM,techsummary_41479.pdf (133.14 KB),Technical,Opened,Subhash Chander,11-Jun-2019 02:17 PM,technical_41479.pdf,1.0,121102.0,DILWAG SINGH GOVT. COT.,23-May-2019 12:19 PM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:22 PM,1.0,121073.0,yashpal sharma,INR,"5,926,840",Finance,Opened,Sanjiv Mahajan,09-Dec-2019 03:18 PM,finance_41479.pdf,BOQ Comparative Chart,AOC,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",PWD,167-216 dated 11-04-2019,2019_PWD_28733_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,000","Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",No,1.0,DD - Demand Draft,02-May-2019 10:00 AM,24-May-2019 11:30 AM,02-May-2019 10:00 AM,24-May-2019 11:00 AM,NA ,NA ,02-May-2019 10:00 AM,24-May-2019 11:00 AM,11-Jun-2019 02:35 PM,C/O link road Dundni Bag to Ghatta G.P. Dhamer form km. 0/000 to 1/505 under NABARD RIDF-XXIV in Distt. Kangra (HP),"(SH- F/C, R/Wall, Passing Places, Cross drainage work, GSB, Tarring work, side drain and parapets)",Please refer Tender documents. ,NA ,"58,15,475",Civil Works - Roads,NA ,Tender,120.0,365.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,"90,700",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,121110.0,Kapil Sharma,24-May-2019 09:42 AM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,121085.0,PARDEEP KUMAR,23-May-2019 08:56 PM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,121116.0,pritam singh thkur,24-May-2019 09:06 AM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,121141.0,Rohit,24-May-2019 10:29 AM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,121073.0,yashpal sharma,22-May-2019 08:13 AM,Accepted-AOC,Award,09-Dec-2019 03:24 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),AOC
