Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Job 6 Periodical Maintenance on link road to Tahliwala Chowk km. 0-0 to 0-280 VR123, link road Panjuwana to Baliwal via Bhanewal km. 0-0 to 0-900 VR140, Link road from GSS Palkwah to Pangoli Sudhre Mohalla to Swan Km 3-0 To 3-680 VR166 Sub Head Patch","Job 6 Periodical Maintenance on link road to Tahliwala Chowk km. 0-0 to 0-280 VR123, link road Panjuwana to Baliwal via Bhanewal km. 0-0 to 0-900 VR140, Link road from GSS Palkwah to Pangoli Sudhre Mohalla to Swan Km 3-0 To 3-680 VR166 Sub Head Patch",Please refer to Bidding Documents ,NA ,"22,96,289",Civil Works - Roads,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,ICICI BANK,"42,000",No,fixed,,Nil,Nil,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,PWD,Job 6 Periodical Maintenance on link road to Tahli,2022_PWD_58213_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,19-Mar-2022 05:00 PM,26-Mar-2022 11:00 AM,19-Mar-2022 05:30 PM,25-Mar-2022 05:00 PM,NA ,NA ,19-Mar-2022 05:30 PM,25-Mar-2022 05:00 PM,29-Mar-2022 11:00 AM,AOC,Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,29-Mar-2022 07:35 PM,finance_87947.pdf,BOQ Comparative Chart,1.0,272379.0,TC Construction,INR,"2,009,034",1.0,271995.0,M/S R.R.Builders,25-Mar-2022 04:05 PM,Rejected-Finance,Not L-1,29-Mar-2022 08:07 PM,Technical,TechnicalBidOpeningSummary,Rajesh Kumar,28-Mar-2022 12:36 PM,technical_87947.pdf,PWD,2022_PWD_58213_1,Job 6 Periodical Maintenance on link road to Tahli,"Job 6 Periodical Maintenance on link road to Tahliwala Chowk km. 0-0 to 0-280 VR123, link road Panjuwana to Baliwal via Bhanewal km. 0-0 to 0-900 VR140, Link road from GSS Palkwah to Pangoli Sudhre Mohalla to Swan Km 3-0 To 3-680 VR166 Sub Head Patch",Er. Rajesh Kumar. E.E.,Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,28-Mar-2022 05:16 PM,29-Mar-2022 11:00 AM,techsummary_87947.pdf (580.45 KB),"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,29-Mar-2022 08:07 PM,finsummary_87947.pdf (522.80 KB),18-Apr-2022,"INR 2,296,289",60.0,Arvind Chaudhary,21-Nov-2022 01:11 PM,Awardletter.pdf (1201.00 KB),Awardletter,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,272741.0,Shiv Kumar Govt Contractor,25-Mar-2022 04:35 PM,Rejected-Finance,Not L-1,29-Mar-2022 08:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,272379.0,TC Construction,25-Mar-2022 02:05 PM,Accepted-AOC,ok,21-Nov-2022 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
