Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"17,100",Yes,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,12-Sep-2022 10:00 AM,19-Sep-2022 11:00 AM,12-Sep-2022 10:00 AM,19-Sep-2022 10:00 AM,NA ,NA ,12-Sep-2022 10:00 AM,19-Sep-2022 10:00 AM,13-Oct-2022 04:00 PM,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/22-23-4867-77 dt 03.09.2,2022_PWD_64773_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Replacement of old damaged electrical equipments in Auditorium of Government polytechnic at Sunder Nagar District Mandi,Replacement of old damaged electrical equipments in Auditorium of Government polytechnic at Sunder Nagar District Mandi,PLZ REFER TO BID DOC ,NA ,"8,52,483",Electrical Works,NA ,Tender,75.0,180.0,SUNDER NAGAR,175019.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,ICICI BANK,AOC,1.0,301665.0,M.V.Associates,INR,"871,978",Finance,finsummary,Munish Bhopal,25-Oct-2022 11:06 AM,finance_97477.pdf,BOQ Comparative Chart,1.0,302069.0,bhupender,18-Sep-2022 03:37 PM,Rejected-Finance,rejected being L3 contractor,25-Oct-2022 11:14 AM,Technical,Summary,Suresh Kumar Dhiman,24-Sep-2022 06:27 PM,None,Er Munish Bhopal EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,13-Oct-2022 03:24 PM,13-Oct-2022 04:00 PM,techsummary_97477.pdf (403.62 KB),PWD,2022_PWD_64773_1,PW/MED/TA/NIT/ e-notice/22-23-4867-77 dt 03.09.2,Replacement of old damaged electrical equipments in Auditorium of Government polytechnic at Sunder Nagar District Mandi,31-Oct-2022,"INR 852,483",180.0,Munish Bhopal,23-Nov-2022 01:59 PM,AOC.pdf (677.00 KB),work awarded to M/s M.V Associates being L1 contr,Er Munish Bhopal EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,25-Oct-2022 11:14 AM,finsummary_97477.pdf (420.22 KB),AOC
,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor enlistment in HPPWD Electrical Class B or C with valid electrical license,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,2.0,301716.0,Krishana Traders,16-Sep-2022 04:27 PM,Rejected-Finance,rejected being L2 contractor,25-Oct-2022 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,AOC,,,,,,,,,,,,3.0,301665.0,M.V.Associates,16-Sep-2022 04:43 PM,Accepted-AOC,work awarded to M/s M.V Associates being L1 contr,23-Nov-2022 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificates as per TQC,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address format with valid email ID and contact numbers,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
