Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/49/2022/15,2022_PWRDW_25594_18,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,Corrigendum 2,Date,,19-May-2022 01:00 PM,27-Jun-2022 02:30 PM,19-May-2022 01:00 PM,27-Jun-2022 02:00 PM,19-May-2022 01:00 PM ,01-Jun-2022 11:00 AM ,19-May-2022 01:00 PM,27-Jun-2022 02:00 PM,22-Sep-2022 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,EMD,1.0,SBI Bank,"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025",Kanfala to Mela - Ati pathar Chamkata road of Kanphala and Ralipathar revenue village in Morigaon District,"APART/NOCP/ROADS/MR-11 Construction of road from Kanfala to Mela - Ati pathar Chamkata road of Kanphala and Ralipathar revenue village, Morigaon Mouza in Morigaon District(length 2KM) under APART",Please refer Tender documents. ,NA ,"2,99,99,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Morigaon District,782105.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",01-Jun-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,"5,99,980",Yes,fixed,,Nil,Nil,AOC,Finance,Financial Bids has been opened,Sanjita Bodo,23-Sep-2022 04:59 PM,,BOQ Comparative Chart,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Pallavi Chakravorty,22-Sep-2022 02:47 PM,22-Sep-2022 04:30 PM,techsummary_39572.pdf (238.80 KB),Technical,Technical Bids has been opened,Pallavi Chakravorty,04-Jul-2022 01:55 PM,,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_25594_18,CE/APART/49/2022/15,Kanfala to Mela - Ati pathar Chamkata road of Kanphala and Ralipathar revenue village in Morigaon District,1,150366,ARIFUR RAHMAN,27-Jun-2022 01:51 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,22-Sep-2022 02:47 PM,1.0,151796.0,Raju Choudhury,INR,22745530.0,28-Oct-2022,INR 2.274553E+7,270.0,Kampi Sonowal,03-Nov-2022 04:00 PM,WO_Rd_Kanfala_Mela.pdf (855.00 KB),"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Sanjita Bodo,14-Oct-2022 05:01 PM,finsummary_39572.pdf (1174.22 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,150580,MD ISMAIL ALI,17-Jun-2022 11:10 AM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,22-Sep-2022 02:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3,150752,M/S N.E. Infra,27-Jun-2022 12:27 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,22-Sep-2022 02:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4,151897,M/S Sadguru Engineers & Allied Services Pvt. Ltd.,27-Jun-2022 12:37 PM,Rejected-Finance,Rejected as L4,14-Oct-2022 05:01 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,5,151891,Partha Pratim Konwar,27-Jun-2022 12:40 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,22-Sep-2022 02:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,6,151796,Raju Choudhury,25-Jun-2022 06:31 PM,Accepted-AOC,Awarded Contract Bidder,03-Nov-2022 04:00 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,7,151816,Ramesh Kr. Agarwalla,26-Jun-2022 01:16 PM,Rejected-Finance,Rejected as L3,14-Oct-2022 05:01 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,8,151603,Sandip Lal Kedia,24-Jun-2022 12:15 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,22-Sep-2022 02:47 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,9,150299,SIRAJUL ISLAM,27-Jun-2022 01:46 PM,Rejected-Finance,Rejected as L2,14-Oct-2022 05:01 PM,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,10,150674,Sri Satyajit Bora,17-Jun-2022 02:20 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,22-Sep-2022 02:47 PM,,,,,,,,,,,,,,,,,,AOC
