Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/49/2022/14,2022_PWRDW_25569_3,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum 1,Date,,1.0,SBI Bank,"1,30,020",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,EMD,"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025",18-May-2022 09:00 AM,24-Jun-2022 02:30 PM,18-May-2022 09:00 AM,24-Jun-2022 02:00 PM,18-May-2022 09:00 AM ,30-May-2022 11:00 AM ,18-May-2022 09:00 AM,24-Jun-2022 02:00 PM,12-Oct-2022 02:30 PM,"1,000",Nil,Nil,No,Road from Makundapur Satra to Prabhat Deka shop in Kamrup District,"APART/NOCP/ROADS/K-10 Construction of road from Makundapur Satra to Prabhat Dekas shop, village - Makundapur, Patidarrang Mouza in Kamrup District (length 0.52 KM) under APART",Please refer Tender documents. ,NA ,"65,01,000",Civil Works – Roads,NA ,Tender,90.0,180.0,Kamrup District,781381.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",30-May-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,AOC,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_25569_3,CE/APART/49/2022/14,Road from Makundapur Satra to Prabhat Deka shop in Kamrup District,1,151103,Amit Poddar,17-Jun-2022 10:22 PM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 07:44 PM,Finance,Financial Bids has been opened,Sanjita Bodo,12-Oct-2022 04:15 PM,,BOQ Comparative Chart,18-Nov-2022,INR 4653468.0,180.0,Sanjita Bodo,18-Nov-2022 06:04 PM,WO_Rd_Makundapur.pdf (93.00 KB),"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Pallavi Chakravorty,11-Oct-2022 07:44 PM,12-Oct-2022 02:30 PM,techsummary_39491.pdf (163.97 KB),Technical,Technical Bids has been opened,Pallavi Chakravorty,25-Jun-2022 04:00 PM,,1.0,150930.0,Dilip patowary,INR,4653468.0,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Kampi Sonowal,07-Nov-2022 12:38 PM,finsummary_39491.pdf (1141.42 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,151694,Bikash Enterprises,24-Jun-2022 01:15 PM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 07:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,150943,B. R. ASSOCIATE,23-Jun-2022 12:19 PM,Rejected-Finance,Rejected as L4,07-Nov-2022 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,150698,DIGEN SWARGIWARY,24-Jun-2022 01:18 PM,Rejected-Finance,Rejected as L6,07-Nov-2022 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,150930,Dilip patowary,17-Jun-2022 10:29 AM,Accepted-AOC,Awarded Contract Bidder,18-Nov-2022 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,151674,M/S. S.S. Engineers,24-Jun-2022 12:24 PM,Rejected-Finance,Rejected as L2,07-Nov-2022 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,150544,Pabitra Boro,23-Jun-2022 07:59 PM,Rejected-Finance,Rejected as L3,07-Nov-2022 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,150657,Rajib Deka,16-Jun-2022 10:23 PM,Rejected-Finance,Rejected as L5,07-Nov-2022 12:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,150331,Rana Construction and Engineers Pvt. Ltd.,13-Jun-2022 04:12 PM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 07:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,150095,Shri Prasanta Lahkar,15-Jun-2022 07:17 PM,Rejected-Technical,As per decision of Bid Evaluation Commitee,11-Oct-2022 07:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
