Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
06-Apr-2022 03:00 PM,16-Apr-2022 11:00 AM,06-Apr-2022 03:00 PM,16-Apr-2022 10:00 AM,06-Apr-2022 03:00 PM ,16-Apr-2022 10:00 AM ,06-Apr-2022 03:00 PM,16-Apr-2022 10:00 AM,19-Apr-2022 04:15 PM,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AMPTalaiRandohPanyala,Civil works,Please refer Tender documents. ,NA ,"40,85,547",Civil Works,NA ,Tender,75.0,90.0,Ghumarwin,174021.0,EE GHU Dvin HPPWD GHU ,EE GHU Dvin HPPWD GHU ,13-Apr-2022 11:00 AM ,EE GHU Dvin HPPWD GHU,No ,No,"2,000",Nil,Nil,Yes,EE GHU Dvin HPPWD GHU,EE GHU Dvin HPPWD GHU,1.0,ICICI BANK,PWD,AMPTalaiRandohPanyla,2022_PWD_59147_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"68,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and EM (Proforma of Schedules),AOC,ee,Internal,SupdtDHDSRDAOAE,Deepak Kapil,19-Apr-2022 03:34 PM,19-Apr-2022 04:15 PM,techsummary_89554.pdf (259.93 KB),PWD,2022_PWD_59147_1,AMPTalaiRandohPanyla,AMPTalaiRandohPanyala,20-May-2022,"INR 3,669,435",90.0,Manohar Lal Sharma,22-Nov-2022 03:39 PM,2123-29.pdf (299.00 KB),Awarded,EE,Internal,SupdtDHDSRDAOAE,Deepak Kapil,23-Apr-2022 04:28 PM,finsummary_89554.pdf (228.68 KB),1.0,277648.0,Pradeep Kumar,INR,"3,669,435",Finance,finanicalevaluation,Deepak Kapil,23-Apr-2022 04:25 PM,finance_89554.pdf,BOQ Comparative Chart,1.0,277751.0,Manohar Lal,15-Apr-2022 09:06 PM,Rejected-Finance,Return of emd,23-Apr-2022 04:28 PM,Technical,Techncialevluation,Deepak Kapil,19-Apr-2022 03:32 PM,technical_89554.pdf,AOC
,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contr Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,277648.0,Pradeep Kumar,15-Apr-2022 09:59 PM,Accepted-AOC,Work Awarded and completed,22-Nov-2022 03:40 PM,,,,,,AOC
,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No ,Pan No. and EPF No(General Rules No.21)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,277145.0,S.S.Chauhans Construction Private Limted,16-Apr-2022 09:37 AM,Rejected-Finance,Return of emd,23-Apr-2022 04:28 PM,,,,,,AOC
,,,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done for last 05years and work in Hand Certi dully signed by concerned. Autho/EE (Gen. Rules,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,277745.0,Surinder Pal,15-Apr-2022 08:31 PM,Rejected-Finance,Return of emd,23-Apr-2022 04:28 PM,,,,,,AOC
,,,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plants and Laboratory Equipment etc. (as shown in Schedule-F with reference",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,Certificate Details ,Partnership Deed ,Partnership Deed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form 7, 8 dully signed by Contractor with seal (Refer schedule A to F)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Original documents before scheduled time of opening time of technical bids,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,Certificate Details ,Power of Attorney ,Power of Attorney ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All GCC will be applicable,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the state in proforma of schedule BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
