Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
PWD,PW/MED/TA/NIT/ e-notice/21-22-3979-89 dt 21.08.21,2021_PWD_51715_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"40,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,31-Aug-2021 10:00 AM,07-Sep-2021 11:30 AM,31-Aug-2021 10:00 AM,07-Sep-2021 10:00 AM,NA ,NA ,31-Aug-2021 10:00 AM,07-Sep-2021 10:00 AM,23-Oct-2021 12:10 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Construction of Atal Adarsh Vidyalya at Marhi, Tehsil Dharmpur District Mandi HP School and office building SH Providing E.I therein","Construction of Atal Adarsh Vidyalya at Marhi, Tehsil Dharmpur District Mandi HP School and office building SH Providing E.I therein",Please refer to bid document ,NA ,"24,35,600",Electrical Works,NA ,Tender,75.0,365.0,Marhi,175040.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,DD - Demand Draft,AOC,Er Sanjay Kumar SE,Internal,Er R S Rana EE Er Munish Bhopal EE Er Sachin Thakut EO Smt Shankuntla Verma Superintendent,Munish Bhopal,23-Oct-2021 12:04 PM,23-Oct-2021 12:10 PM,techsummary_77318.pdf (853.90 KB),PWD,2021_PWD_51715_1,PW/MED/TA/NIT/ e-notice/21-22-3979-89 dt 21.08.21,"Construction of Atal Adarsh Vidyalya at Marhi, Tehsil Dharmpur District Mandi HP School and office building SH Providing E.I therein",15-Mar-2022,"INR 2,435,600",365.0,Munish Bhopal,21-Nov-2022 04:56 PM,AOC.pdf (641.00 KB),work awarded to M/s Ratwan Light House being L1 contr,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,23-Oct-2021 01:29 PM,finsummary_77318.pdf (308.55 KB),1.0,234498.0,ARUN KUMAR SHARMA,06-Sep-2021 03:35 PM,Rejected-Finance,Rejected being L2 firm/ contractor,23-Oct-2021 01:29 PM,Technical,techsummary,Munish Bhopal,23-Oct-2021 11:56 AM,technical_77318.pdf,Finance,finsummary,Munish Bhopal,23-Oct-2021 01:24 PM,finance_77318.pdf,BOQ Comparative Chart,1.0,233703.0,Ratwan Light House,INR,"2,522,574",AOC
,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration HPPWD Electrical Class A or B,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,234630.0,DHARMENDER SINGH,06-Sep-2021 07:46 PM,Not Admitted-Fee/PreQual/Technical,Others-Tender documents with original EMD and DD not submiited physically,23-Oct-2021 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233802.0,Dhiman Elect-,03-Sep-2021 10:50 AM,Not Admitted-Fee/PreQual/Technical,Others-Tender documents with original EMD and DD not submiited physically,23-Oct-2021 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,234656.0,KUMAR ELECTRONICS CO.,06-Sep-2021 08:46 PM,Not Admitted-Fee/PreQual/Technical,Others-Tender documents with original EMD and DD not submiited physically,23-Oct-2021 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,234401.0,Rajesh Kumar Jaswal,06-Sep-2021 09:10 AM,Not Admitted-Fee/PreQual/Technical,Others-Tender documents with original EMD and DD not submiited physically,23-Oct-2021 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,233703.0,Ratwan Light House,02-Sep-2021 03:08 PM,Accepted-AOC,work awarded to M/s Ratwan Light House being L1 contr,21-Nov-2022 04:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7.0,233905.0,SHARMA ELECTRICAL CO.,03-Sep-2021 03:13 PM,Rejected-Finance,Rejected being L3 firm/ contractor,23-Oct-2021 01:29 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
