Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,12-Sep-2022 10:00 AM,19-Sep-2022 11:00 AM,12-Sep-2022 10:00 AM,19-Sep-2022 10:00 AM,NA ,NA ,12-Sep-2022 10:00 AM,19-Sep-2022 10:00 AM,14-Oct-2022 03:45 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,ICICI BANK,"Construction of Combined Office Building at Balichowki, District Mandi HP SH Providing LED Fixtures , Ceiling fans, Main Panel therein","Construction of Combined Office Building at Balichowki, District Mandi HP SH Providing LED Fixtures , Ceiling fans, Main Panel therein",PLZ REFER TO BID DOC ,NA ,"9,99,802",Electrical Works,NA ,Tender,75.0,120.0,BALICHOWKI,175106.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,PWD,PW/MED/TA/NIT/ e-notice/22-23-4867-77 dt 03.09.22,2022_PWD_64771_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","20,000",Yes,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,AOC,Finance,finsummary,Munish Bhopal,25-Oct-2022 11:04 AM,finance_97474.pdf,BOQ Comparative Chart,1.0,301341.0,Mahesh Electrical And Electronich,INR,"999,090",1.0,301341.0,Mahesh Electrical And Electronich,17-Sep-2022 07:46 AM,Accepted-AOC,work awarded being L1,23-Nov-2022 12:33 PM,Technical,Summary,Suresh Kumar Dhiman,24-Sep-2022 06:28 PM,None,PWD,2022_PWD_64771_1,PW/MED/TA/NIT/ e-notice/22-23-4867-77 dt 03.09.22,"Construction of Combined Office Building at Balichowki, District Mandi HP SH Providing LED Fixtures , Ceiling fans, Main Panel therein",Er Munish Bhopal EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,14-Oct-2022 03:40 PM,14-Oct-2022 03:45 PM,techsummary_97474.pdf (420.59 KB),Er Munish Bhopal EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,25-Oct-2022 11:17 AM,finsummary_97474.pdf (373.94 KB),31-Oct-2022,"INR 999,802",120.0,Munish Bhopal,23-Nov-2022 12:33 PM,AOC.pdf (654.00 KB),work awarded to Sh. Maheshwar singh being L1 contr,AOC
,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,Contractor enlistment in HPPWD Electrical Class B or C with valid electrical license,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,302080.0,Rajesh Electrical Works,18-Sep-2022 04:33 PM,Rejected-Finance,rejected being L2 contractor,25-Oct-2022 11:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificates as per TQC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
