EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"15,250",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,Supplying and installation of LED Light with remote control after deducting by back price of old OT light already installed in OT at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi,Supplying and installation of LED Light with remote control after deducting by back price of old OT light already installed in OT at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi,PLZ REFER TO BID DOC ,NA ,"7,62,000",Electrical Works,NA ,Tender,75.0,30.0,NERCHOWK,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-62-71 dt 06.04.22,2022_PWD_59557_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,corrigendum,Other,,16-Apr-2022 10:00 AM,23-Apr-2022 11:30 AM,16-Apr-2022 10:00 AM,23-Apr-2022 10:00 AM,NA ,NA ,16-Apr-2022 10:00 AM,23-Apr-2022 10:00 AM,05-May-2022 11:00 AM,350.0,Nil,Nil,No,1.0,ICICI BANK,AOC,PWD,2022_PWD_59557_1,PW/MED/TA/NIT/ e-notice/21-22-62-71 dt 06.04.22,Supplying and installation of LED Light with remote control after deducting by back price of old OT light already installed in OT at Shri Lal Bahadur Shastri Govt. Medical College and Hospital Nerchowk District Mandi,ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,05-May-2022 10:55 AM,05-May-2022 11:00 AM,techsummary_90107.pdf (359.70 KB),ER MUNISH BHOPAL EE,Internal,Supdt Sr Asstt JDM,Munish Bhopal,09-May-2022 03:59 PM,finsummary_90107.pdf (287.80 KB),07-Jun-2022,"INR 762,000",30.0,Munish Bhopal,21-Nov-2022 05:25 PM,AOC.pdf (632.00 KB),work awarded to M/s ANK Services being L1 firm,1.0,278595.0,AnKServices,21-Apr-2022 09:27 PM,Accepted-AOC,work awarded being L1 firm,21-Nov-2022 05:26 PM,Technical,Techbidsummary,Munish Bhopal,05-May-2022 10:51 AM,technical_90107.pdf,1.0,278595.0,AnKServices,INR,"761,200",Finance,fin summary,Munish Bhopal,09-May-2022 03:48 PM,finance_90107.pdf,BOQ Comparative Chart,AOC
,,,,,,,,.pdf,Contractor registration HPPWD Electrical Class B or C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,278750.0,Mahadev Enterprises,21-Apr-2022 09:30 PM,Rejected-Finance,rejected being l2 firm,09-May-2022 03:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,278524.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,20-Apr-2022 03:49 PM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,05-May-2022 10:55 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
