Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
EE Hamirpur,Executive Engineer HPPWD Hamirpur,17-Aug-2022 06:00 PM,24-Aug-2022 11:00 AM,17-Aug-2022 06:00 PM,24-Aug-2022 10:30 AM,NA ,NA ,17-Aug-2022 06:00 PM,24-Aug-2022 10:30 AM,09-Sep-2022 03:00 PM,"5,000",Nil,Nil,No,"1,98,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,Construction of Helipad at Kohla in Tehsil Nadaun District Hamirpur HP,SH C/o Building Portion C/o Helipad Launch Pad and Take Off Pad C/o road by laying GSB WMM BM BC Stud Road Marking Retaining wall and Crate work,Please refer Tender documents. ,NA ,"1,65,48,542",Civil Works - Roads,NA ,Tender,60.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK,PWD,Helipad at Kohla in Tehsil Nadaun,2022_PWD_63776_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Finance,Attached,Sanjay Katoch,17-Sep-2022 05:57 PM,finance_96097.pdf,BOQ Comparative Chart,1.0,297225.0,umesh sharma,INR,"18,162,206.41",1.0,296321.0,KASMIR SINGH CONTACTOR,20-Aug-2022 05:38 PM,Rejected-Technical,Rejected,08-Sep-2022 07:17 PM,Technical,Attached,Vivek Sharma,08-Sep-2022 07:16 PM,technical_96097.pdf,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,08-Sep-2022 07:17 PM,09-Sep-2022 03:00 PM,techsummary_96097.pdf (408.53 KB),PWD,2022_PWD_63776_1,Helipad at Kohla in Tehsil Nadaun,Construction of Helipad at Kohla in Tehsil Nadaun District Hamirpur HP,30-Nov-2022,"INR 18,162,206",365.0,Vivek Sharma,30-Nov-2022 04:50 PM,AwardKohla.pdf (1703.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,17-Sep-2022 06:19 PM,finsummary_96097.pdf (487.42 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD 1.2.1,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,297105.0,MAHIPAL GOVT CONT,23-Aug-2022 06:34 PM,Rejected-Finance,l2,17-Sep-2022 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,297225.0,umesh sharma,23-Aug-2022 06:45 PM,Accepted-AOC,l1,30-Nov-2022 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and ECR statement latestClearanceStatement withMonthly contributionChallan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,of work and having NOC from HP State Pollution Control Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
