Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"Construction of Science lab at Government Senior Secondary School at Tihra, Tehsil Sarkaghat District Mandi HP SH Providing E.I therein","Construction of Science lab at Government Senior Secondary School at Tihra, Tehsil Sarkaghat District Mandi HP SH Providing E.I therein",please refer to bid document ,NA ,"6,78,928",Electrical Works,NA ,Tender,75.0,365.0,Tihra,175040.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-2292-01 dt 25.06.21,2021_PWD_49412_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"13,600",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,05-Jul-2021 10:00 AM,12-Jul-2021 11:30 AM,05-Jul-2021 10:00 AM,12-Jul-2021 10:00 AM,NA ,NA ,05-Jul-2021 10:00 AM,12-Jul-2021 10:00 AM,28-Jul-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC,Finance,fin summary,Suresh Kumar Dhiman,06-Aug-2021 11:02 AM,finance_74013.pdf,BOQ Comparative Chart,1.0,222036.0,Rajiv Contactor,INR,"617,825",1.0,222424.0,Krishan Pal,10-Jul-2021 02:42 PM,Rejected-Finance,rejected being L3 contr,06-Aug-2021 11:17 AM,Technical,TECH SUMMARY,Suresh Kumar Dhiman,27-Jul-2021 11:35 AM,technical_74013.pdf,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Manish Kumar TA,Suresh Kumar Dhiman,27-Jul-2021 11:48 AM,28-Jul-2021 11:00 AM,techsummary_74013.pdf (336.72 KB),PWD,2021_PWD_49412_1,PW/MED/TA/NIT/ e-notice/21-22-2292-01 dt 25.06.21,"Construction of Science lab at Government Senior Secondary School at Tihra, Tehsil Sarkaghat District Mandi HP SH Providing E.I therein",28-Jul-2022,"INR 678,928",600.0,Munish Bhopal,23-Nov-2022 11:56 AM,AOC.pdf (646.00 KB),work awarded to Sh. Rajeev Singh being L1 contr,Er Munish Bhopal,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Manish Kumar,Suresh Kumar Dhiman,06-Aug-2021 11:17 AM,finsummary_74013.pdf (302.16 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,Contractor registration Class B or C (Elect) in HPPWD with valid Elect license,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,2.0,222036.0,Rajiv Contactor,08-Jul-2021 10:40 AM,Accepted-AOC,work awarded to Sh. Rajeev Singh being L1 contr,23-Nov-2022 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,AOC,,,,,,,,,,,,3.0,222320.0,Ramesh Dhalaria,09-Jul-2021 01:45 PM,Rejected-Finance,rejected being L2 contr,06-Aug-2021 11:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,AOC,,,,,,,,,,,,4.0,222383.0,suresh kumar,11-Jul-2021 11:59 AM,Not Admitted-Fee/PreQual/Technical,Others-BID DOCUMENTS NOT SUBMITTED PHYSICALLY,27-Jul-2021 11:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt/ Semi Govt. Deptt / Board/PSU,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
