Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,PW/MED/TA/NIT/ e-notice/22-23-1951-60 dt 15.06.22,2022_PWD_61995_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,24-Jun-2022 10:00 AM,01-Jul-2022 11:00 AM,24-Jun-2022 10:00 AM,01-Jul-2022 10:00 AM,NA ,NA ,24-Jun-2022 10:00 AM,01-Jul-2022 10:00 AM,05-Aug-2022 04:30 PM,"43,800",Yes,fixed,,Nil,Nil,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,500.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,ICICI BANK,"Supplying, Installation Testing and Commissioning of One No. 10 Passenger machine room less elevator at Warehouse for storage of EVM and VVPAT at Dhalpur District Kullu HP","Supplying, Installation Testing and Commissioning of One No. 10 Passenger machine room less elevator at Warehouse for storage of EVM and VVPAT at Dhalpur District Kullu HP",PLZ REFER TO BID DOC ,NA ,"24,20,000",Electrical Works,NA ,Tender,75.0,90.0,Dhalpur,175101.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC,1.0,289179.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,29-Jun-2022 06:00 PM,Rejected-Finance,rejected being L2 firm,21-Aug-2022 02:00 PM,Technical,techsummary,Munish Bhopal,05-Aug-2022 04:26 PM,technical_93542.pdf,Finance,finsummary,Munish Bhopal,21-Aug-2022 01:58 PM,finance_93542.pdf,BOQ Comparative Chart,1.0,289151.0,SHARMA ELECTRICAL CO.,INR,"2,400,000",Er Sanjay Kumar SE,Internal,Supdt EO EE Mandi,Munish Bhopal,05-Aug-2022 04:28 PM,05-Aug-2022 04:30 PM,techsummary_93542.pdf (1045.21 KB),PWD,2022_PWD_61995_1,PW/MED/TA/NIT/ e-notice/22-23-1951-60 dt 15.06.22,"Supplying, Installation Testing and Commissioning of One No. 10 Passenger machine room less elevator at Warehouse for storage of EVM and VVPAT at Dhalpur District Kullu HP",04-Oct-2022,"INR 2,420,000",120.0,Munish Bhopal,22-Nov-2022 03:30 PM,AOC.pdf (611.00 KB),work awarded to M/s Sharma Elect Co. being L1 firm,ER MUNISH BHOPAL EE,Internal,SR Asstt Sr Asstt JDM,Munish Bhopal,21-Aug-2022 02:00 PM,finsummary_93542.pdf (406.94 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,.pdf,Bidder address format with valid email address and phone numbers,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,2.0,289151.0,SHARMA ELECTRICAL CO.,30-Jun-2022 02:15 PM,Accepted-AOC,work awarded to M/s Sharma Elect Co. being L1 firm,22-Nov-2022 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,.pdf,Approved OEM of Lift elevator or authorized agency of approved OEM of lift elevator,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
