Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,C/O Hingwala Mini Gawas road Km 0/0 to 3/0,(SH- C/O 6.00mtr RCC Slab Culvert wing wall Both Side at RD 1/070),Please refer Tender documents. ,NA ,"19,64,671",Civil Works - Roads,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,500.0,Nil,Nil,No,PWD,PW-RD-GA-T-18927-19026dt7-3-22,2022_PWD_58294_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,21-Mar-2022 10:00 AM,28-Mar-2022 10:00 AM,21-Mar-2022 10:00 AM,26-Mar-2022 06:00 PM,NA ,NA ,21-Mar-2022 10:00 AM,26-Mar-2022 06:00 PM,29-Mar-2022 10:45 AM,1.0,ICICI BANK,"37,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,AOC,PAWAN KUMAR,Internal,AE TO EE,Duni Chand Chauhan,29-Mar-2022 10:41 AM,29-Mar-2022 10:45 AM,techsummary_88155.pdf (66.36 KB),PWD,2022_PWD_58294_8,PW-RD-GA-T-18927-19026dt7-3-22,C/O Hingwala Mini Gawas road Km 0/0 to 3/0,25-Nov-2022,"INR 1,966,305",60.0,Pawan Kumar Garg,25-Nov-2022 06:15 PM,Prdeep.pdf (194.00 KB),AOC,Er. Pawan,Internal,C.L.AZAD,Pawan Kumar Garg,25-Nov-2022 05:45 PM,finsummary_88155.pdf (194.12 KB),1.0,272236.0,PRADEEP RAITKA,23-Mar-2022 07:14 PM,Accepted-AOC,AOC,25-Nov-2022 06:15 PM,Technical,Bid Opening Summary,Duni Chand Chauhan,29-Mar-2022 10:28 AM,technical_88155.pdf,1.0,272236.0,PRADEEP RAITKA,INR,"1,966,305",Finance,Bid Opening Summary,Pawan Kumar Garg,29-Mar-2022 11:14 AM,finance_88155.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,EARNEST MONEY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,272228.0,PREETI RAITKA,23-Mar-2022 06:35 PM,Rejected-Finance,2nd lowest,25-Nov-2022 05:45 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"physical submission submit should be compalsory otherwise tender will be rejected,UTR No copy should",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
