Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,PW/MED/TA/NIT/ e-notice/21-22-3221-23 ft 02.08.21,2021_PWD_51089_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"17,650",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,13-Aug-2021 10:00 AM,20-Aug-2021 11:30 AM,13-Aug-2021 10:00 AM,20-Aug-2021 10:00 AM,NA ,NA ,13-Aug-2021 10:00 AM,20-Aug-2021 10:00 AM,07-Sep-2021 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,1.0,ICICI BANK,"Construction of additional accommodation for CHC Building at Baldwara, District Mandi H.P Ground floor SH Providing E.I therein","Construction of additional accommodation for CHC Building at Baldwara, District Mandi H.P Ground floor SH Providing E.I therein",please refer to bid document ,NA ,"8,80,852",Electrical Works,NA ,Tender,75.0,365.0,Baldwara,175007.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC,1.0,230463.0,ASHOK GENERAL & GOVT. SUPPLIER,18-Aug-2021 03:40 PM,Accepted-AOC,work awarded to Sh. Ashok Kumar Elect Contr being L1,21-Nov-2022 05:16 PM,Technical,techsummary,Munish Bhopal,07-Sep-2021 04:17 PM,technical_76374.pdf,Finance,finsummary,Munish Bhopal,08-Sep-2021 03:45 PM,finance_76374.pdf,BOQ Comparative Chart,1.0,230463.0,ASHOK GENERAL & GOVT. SUPPLIER,INR,"878,733",PWD,2021_PWD_51089_1,PW/MED/TA/NIT/ e-notice/21-22-3221-23 ft 02.08.21,"Construction of additional accommodation for CHC Building at Baldwara, District Mandi H.P Ground floor SH Providing E.I therein",Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,07-Sep-2021 04:21 PM,07-Sep-2021 04:30 PM,techsummary_76374.pdf (356.77 KB),Er Munish Bhopal EE,Internal,Sh Johan Gupta Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Munish Bhopal,08-Sep-2021 03:54 PM,finsummary_76374.pdf (319.21 KB),09-Mar-2022,"INR 880,852",365.0,Munish Bhopal,21-Nov-2022 05:15 PM,AOC.pdf (655.00 KB),work awarded to Sh. Ashok Kumar Elect Contr being L1,AOC
,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration Class B or C (Elect) in HPPWD with valid Elect license,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,2.0,230495.0,Bhanu Pratap,17-Aug-2021 03:12 PM,Rejected-Finance,Rejected being L2 firm/ contractor,08-Sep-2021 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,230467.0,VISHAL ELECTONICS,17-Aug-2021 01:11 PM,Rejected-Finance,Rejected being L3 firm/ contractor,08-Sep-2021 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
